ticket_id,customer_id,created_date,category,priority,resolution_hours,satisfaction_rating
TKT-0000031,CUST-004752,2023-03-14,Technical,Low,16.8,2
TKT-0000032,CUST-000313,2024-11-04,Bug,Medium,44.1,5
TKT-0000033,CUST-000245,2023-02-28,Billing,Low,33.0,3
TKT-0000034,CUST-003109,2023-08-05,Account,Medium,59.0,4
TKT-0000035,CUST-002778,2024-03-13,Feature Request,Low,20.0,3
TKT-0000036,CUST-004517,2024-05-19,Account,Medium,51.7,3
TKT-0000037,CUST-004364,2023-12-02,Feature Request,Medium,25.1,4
TKT-0000038,CUST-003374,2024-06-27,Technical,Medium,16.6,5
TKT-0000039,CUST-000556,2023-01-15,Feature Request,Medium,66.9,4
TKT-0000040,CUST-002628,2024-02-01,Account,Low,28.9,2
TKT-0000041,CUST-001780,2024-08-04,Bug,High,89.5,4
TKT-0000042,CUST-000535,2023-08-16,Bug,Medium,46.0,4
TKT-0000043,CUST-000531,2023-06-07,Technical,Low,21.8,4
TKT-0000044,CUST-004221,2024-12-27,Bug,Low,15.2,1
TKT-0000045,CUST-001748,2024-06-20,Bug,High,77.4,4
TKT-0000046,CUST-004615,2024-08-28,Technical,Critical,129.7,5
TKT-0000047,CUST-002080,2023-09-30,Feature Request,High,87.2,5
TKT-0000048,CUST-001991,2023-02-10,Account,High,88.3,4
TKT-0000049,CUST-002344,2023-03-14,Feature Request,High,72.0,4
TKT-0000050,CUST-001542,2023-04-04,Feature Request,Medium,50.7,1
TKT-0000051,CUST-001952,2024-04-12,Feature Request,Low,26.7,5
TKT-0000052,CUST-002953,2023-03-21,Account,High,58.2,3
TKT-0000053,CUST-004396,2023-07-14,Bug,Low,19.2,2
TKT-0000054,CUST-003889,2023-02-04,Feature Request,Low,22.7,2
TKT-0000055,CUST-002714,2023-09-12,Account,Medium,37.7,4
TKT-0000056,CUST-004827,2024-12-24,Technical,Low,30.1,4
TKT-0000057,CUST-002258,2024-05-11,Bug,Medium,60.2,5
TKT-0000058,CUST-001059,2023-01-29,Bug,Low,26.1,2
TKT-0000059,CUST-000984,2024-09-25,Account,Low,41.2,3
TKT-0000060,CUST-001428,2024-04-15,Bug,Medium,73.4,1
TKT-0000061,CUST-003893,2023-04-14,Account,High,36.1,5
TKT-0000062,CUST-003308,2024-06-25,Bug,Low,33.2,4
TKT-0000063,CUST-004022,2023-09-28,Feature Request,Medium,44.7,2
TKT-0000064,CUST-003408,2024-02-26,Account,Critical,143.9,4
TKT-0000065,CUST-003665,2024-04-14,Account,Low,19.4,5
TKT-0000066,CUST-001640,2024-08-28,Technical,Low,26.0,2
TKT-0000067,CUST-000082,2023-02-28,Technical,Medium,32.8,3
TKT-0000068,CUST-001035,2024-07-19,Bug,Low,19.0,5
TKT-0000069,CUST-004344,2024-04-21,Bug,Low,25.5,4
TKT-0000070,CUST-001130,2024-05-02,Bug,Low,34.7,4
TKT-0000071,CUST-004982,2024-12-15,Account,Low,14.7,3
TKT-0000072,CUST-001947,2023-08-28,Technical,Medium,39.0,4
TKT-0000073,CUST-003455,2024-05-02,Account,Medium,53.1,3
TKT-0000074,CUST-001837,2023-08-10,Bug,High,44.0,4
TKT-0000075,CUST-003005,2024-10-14,Account,High,110.6,3
TKT-0000076,CUST-000383,2023-04-19,Account,Low,22.9,4
TKT-0000077,CUST-001269,2024-03-02,Technical,High,112.3,4
TKT-0000078,CUST-004716,2024-08-07,Bug,Critical,44.8,3
TKT-0000079,CUST-000357,2023-05-27,Account,Medium,36.4,3
TKT-0000080,CUST-002417,2024-04-03,Billing,High,75.0,5
TKT-0000081,CUST-001273,2023-12-20,Feature Request,High,60.6,4
TKT-0000082,CUST-002139,2024-09-16,Bug,Low,10.9,2
TKT-0000083,CUST-004933,2023-06-23,Technical,Critical,81.0,4
TKT-0000084,CUST-004436,2024-05-17,Account,High,52.0,4
TKT-0000085,CUST-002629,2023-11-13,Technical,Medium,51.8,3
TKT-0000086,CUST-003510,2024-02-28,Feature Request,Medium,43.6,3
TKT-0000087,CUST-001701,2023-02-18,Feature Request,Medium,51.5,2
TKT-0000088,CUST-001149,2023-03-28,Feature Request,High,95.5,4
TKT-0000089,CUST-001591,2023-02-14,Feature Request,Medium,60.5,1
TKT-0000090,CUST-004208,2023-01-17,Feature Request,Low,32.3,4
TKT-0000091,CUST-004163,2024-02-14,Feature Request,High,79.6,4
TKT-0000092,CUST-004345,2024-10-14,Bug,Medium,45.2,3
TKT-0000093,CUST-000476,2024-09-15,Billing,Medium,31.0,4
TKT-0000094,CUST-004593,2024-10-29,Technical,Low,21.4,5
TKT-0000095,CUST-002179,2024-03-29,Bug,Low,22.9,3
TKT-0000096,CUST-002685,2024-04-26,Feature Request,Medium,51.6,4
TKT-0000097,CUST-001285,2023-10-27,Account,Low,24.7,3
TKT-0000098,CUST-004304,2023-02-22,Billing,Medium,67.0,5
TKT-0000099,CUST-004715,2023-01-02,Billing,Low,33.7,4
TKT-0000100,CUST-004019,2024-08-31,Bug,Medium,34.9,5
TKT-0000101,CUST-004883,2024-12-06,Technical,High,72.4,4
TKT-0000102,CUST-001993,2024-04-18,Feature Request,High,88.9,3
TKT-0000103,CUST-001819,2023-02-26,Feature Request,Medium,31.8,4
TKT-0000104,CUST-000921,2023-03-06,Billing,Medium,47.3,5
TKT-0000105,CUST-002605,2024-06-09,Bug,Low,36.2,5
TKT-0000106,CUST-000566,2023-08-09,Technical,Low,28.9,5
TKT-0000107,CUST-001126,2023-05-16,Billing,Medium,30.8,4
TKT-0000108,CUST-001690,2024-01-15,Feature Request,Medium,61.8,4
TKT-0000109,CUST-002849,2024-10-06,Technical,Medium,44.9,4
TKT-0000110,CUST-003484,2024-11-22,Feature Request,Medium,39.4,2
TKT-0000111,CUST-000657,2024-12-06,Technical,High,92.9,4
TKT-0000112,CUST-004115,2024-02-12,Bug,High,91.6,3
TKT-0000113,CUST-000857,2024-01-26,Bug,Medium,31.7,4
TKT-0000114,CUST-002344,2023-03-15,Billing,Medium,51.8,4
TKT-0000115,CUST-001652,2024-07-11,Technical,Low,29.4,4
TKT-0000116,CUST-004031,2023-01-09,Account,Low,11.8,2
TKT-0000117,CUST-003118,2024-01-22,Bug,Critical,135.4,3
TKT-0000118,CUST-001175,2023-04-07,Technical,Low,14.3,5
TKT-0000119,CUST-000787,2023-01-04,Billing,Medium,46.2,5
TKT-0000120,CUST-004921,2024-06-23,Account,Critical,107.7,2
TKT-0000121,CUST-002384,2023-12-13,Technical,High,37.8,2
TKT-0000122,CUST-004045,2023-09-07,Account,Medium,33.1,4
TKT-0000123,CUST-003292,2024-04-09,Billing,Low,18.4,4
TKT-0000124,CUST-002759,2023-02-11,Technical,Critical,133.6,5
TKT-0000125,CUST-000750,2023-01-07,Technical,Low,24.2,5
TKT-0000126,CUST-004041,2024-05-26,Technical,High,90.8,3
TKT-0000127,CUST-002124,2023-03-05,Technical,Low,25.9,4
TKT-0000128,CUST-002020,2023-01-22,Feature Request,Medium,35.1,3
TKT-0000129,CUST-000930,2023-04-13,Account,Medium,30.0,2
TKT-0000130,CUST-000384,2023-01-07,Account,Medium,38.1,3
TKT-0000131,CUST-003930,2023-06-03,Bug,Critical,127.6,5
TKT-0000132,CUST-000896,2023-05-24,Billing,Medium,62.9,5
TKT-0000133,CUST-000071,2023-05-16,Account,High,103.8,3
TKT-0000134,CUST-004350,2023-04-30,Bug,Low,28.1,2
TKT-0000135,CUST-000583,2023-06-23,Technical,Low,24.1,4
TKT-0000136,CUST-002469,2024-12-20,Bug,Medium,35.8,3
TKT-0000137,CUST-000236,2024-02-10,Bug,Low,18.4,4
TKT-0000138,CUST-000846,2024-07-27,Feature Request,Low,18.8,3
TKT-0000139,CUST-001083,2023-08-12,Technical,Critical,84.2,4
TKT-0000140,CUST-002336,2024-09-20,Bug,Low,12.7,4
TKT-0000141,CUST-001486,2023-02-12,Bug,High,80.8,3
TKT-0000142,CUST-002942,2023-11-23,Feature Request,Medium,50.3,5
TKT-0000143,CUST-003007,2023-04-09,Technical,High,91.0,5
TKT-0000144,CUST-004241,2023-02-06,Technical,Medium,46.0,1
TKT-0000145,CUST-001337,2023-05-05,Bug,Medium,54.0,4
TKT-0000146,CUST-002111,2023-03-20,Account,Medium,64.1,4
TKT-0000147,CUST-003238,2024-07-13,Technical,Low,22.9,5
TKT-0000148,CUST-000614,2023-03-11,Feature Request,High,75.7,3
TKT-0000149,CUST-002489,2024-01-23,Billing,Medium,37.5,3
TKT-0000150,CUST-001125,2024-08-02,Billing,High,50.2,4
TKT-0000151,CUST-003282,2023-07-20,Technical,High,76.7,4
TKT-0000152,CUST-003383,2023-10-03,Feature Request,Low,23.4,3
TKT-0000153,CUST-002216,2024-08-25,Feature Request,Low,22.0,4
TKT-0000154,CUST-003296,2023-04-25,Technical,Medium,45.3,5
TKT-0000155,CUST-004698,2023-01-06,Account,High,53.8,5
TKT-0000156,CUST-002418,2024-01-27,Technical,Medium,30.2,5
TKT-0000157,CUST-003777,2024-04-19,Technical,Medium,51.3,3
TKT-0000158,CUST-004938,2024-03-22,Account,Medium,44.7,5
TKT-0000159,CUST-002685,2024-09-22,Feature Request,Medium,49.0,4
TKT-0000160,CUST-001935,2024-06-14,Feature Request,Low,30.3,5
TKT-0000161,CUST-001318,2024-05-03,Billing,Medium,38.2,5
TKT-0000162,CUST-003857,2023-03-08,Bug,Low,21.5,5
TKT-0000163,CUST-000773,2023-02-10,Bug,High,59.2,3
TKT-0000164,CUST-004349,2023-04-23,Feature Request,High,84.7,2
TKT-0000165,CUST-002270,2023-10-16,Technical,High,45.5,5
TKT-0000166,CUST-003120,2024-09-20,Feature Request,Medium,65.4,3
TKT-0000167,CUST-000060,2023-11-09,Bug,Low,35.1,3
TKT-0000168,CUST-004217,2023-03-23,Technical,High,65.4,5
TKT-0000169,CUST-002826,2023-03-25,Technical,Medium,34.0,4
TKT-0000170,CUST-002553,2024-03-11,Bug,High,57.2,2
TKT-0000171,CUST-003675,2023-08-23,Feature Request,Medium,52.6,2
TKT-0000172,CUST-004887,2023-07-03,Bug,High,96.3,4
TKT-0000173,CUST-000913,2024-07-26,Technical,Medium,45.8,5
TKT-0000174,CUST-003302,2023-06-03,Bug,Low,19.7,3
TKT-0000175,CUST-004967,2023-06-05,Technical,High,75.2,4
TKT-0000176,CUST-004481,2024-01-07,Bug,Medium,13.8,2
TKT-0000177,CUST-000620,2023-04-25,Bug,Medium,38.6,4
TKT-0000178,CUST-003237,2024-08-04,Bug,Medium,44.2,2
TKT-0000179,CUST-002949,2024-01-26,Account,Medium,37.8,4
TKT-0000180,CUST-004547,2023-09-21,Technical,Low,23.5,4
TKT-0000181,CUST-004099,2023-05-19,Feature Request,High,95.6,4
TKT-0000182,CUST-002052,2024-08-27,Technical,Low,20.4,5
TKT-0000183,CUST-000618,2023-12-04,Bug,Low,22.7,4
TKT-0000184,CUST-004132,2024-06-03,Feature Request,Medium,58.7,5
TKT-0000185,CUST-003688,2024-10-08,Technical,High,72.6,3
TKT-0000186,CUST-004617,2024-01-31,Bug,Medium,20.3,4
TKT-0000187,CUST-004332,2023-05-05,Billing,Low,19.2,3
TKT-0000188,CUST-000377,2024-03-19,Bug,Low,21.3,3
TKT-0000189,CUST-004688,2024-04-01,Bug,Medium,26.9,4
TKT-0000190,CUST-003232,2023-05-30,Account,Low,16.0,2
TKT-0000191,CUST-000362,2023-04-22,Account,Medium,59.5,1
TKT-0000192,CUST-002930,2023-03-06,Feature Request,High,72.0,2
TKT-0000193,CUST-004345,2024-05-11,Account,High,46.7,5
TKT-0000194,CUST-003274,2023-01-21,Technical,Low,34.9,5
TKT-0000195,CUST-000369,2023-06-09,Bug,High,57.1,2
TKT-0000196,CUST-000165,2023-12-01,Bug,Low,22.1,2
TKT-0000197,CUST-002630,2023-09-17,Feature Request,Low,28.7,5
TKT-0000198,CUST-002578,2023-11-05,Billing,Medium,46.1,2
TKT-0000199,CUST-002929,2024-09-01,Bug,Low,37.1,4
TKT-0000200,CUST-001045,2024-02-04,Feature Request,Low,21.6,4
TKT-0000201,CUST-000780,2023-11-20,Bug,Medium,5.9,5
TKT-0000202,CUST-004494,2023-12-01,Feature Request,High,50.4,5
TKT-0000203,CUST-002850,2023-02-06,Account,Medium,60.5,3
TKT-0000204,CUST-001655,2023-06-10,Technical,Low,19.0,5
TKT-0000205,CUST-002502,2024-12-24,Account,Low,19.2,5
TKT-0000206,CUST-004276,2023-10-10,Account,Low,26.7,5
TKT-0000207,CUST-004443,2023-06-10,Technical,Low,28.9,1
TKT-0000208,CUST-004214,2023-03-27,Technical,Medium,48.8,5
TKT-0000209,CUST-000379,2024-06-14,Feature Request,High,63.6,3
TKT-0000210,CUST-001675,2024-11-10,Account,Low,17.3,5
TKT-0000211,CUST-004344,2023-05-26,Billing,Medium,35.4,5
TKT-0000212,CUST-003565,2023-11-30,Account,Low,19.2,5
TKT-0000213,CUST-001239,2023-09-27,Billing,High,60.3,5
TKT-0000214,CUST-000069,2024-10-13,Bug,High,25.4,4
TKT-0000215,CUST-001905,2024-06-21,Account,Low,31.3,4
TKT-0000216,CUST-003551,2023-02-21,Billing,High,102.4,4
TKT-0000217,CUST-004339,2023-12-06,Billing,Medium,70.8,5
TKT-0000218,CUST-003959,2024-12-13,Technical,Medium,33.1,3
TKT-0000219,CUST-004163,2024-04-22,Account,Medium,34.7,3
TKT-0000220,CUST-003641,2023-12-20,Bug,High,21.4,4
TKT-0000221,CUST-001629,2024-09-24,Billing,Low,32.1,5
TKT-0000222,CUST-002996,2023-12-03,Feature Request,Low,23.0,4
TKT-0000223,CUST-001698,2023-01-03,Feature Request,High,90.9,4
TKT-0000224,CUST-004959,2023-06-24,Technical,Medium,55.4,5
TKT-0000225,CUST-001357,2023-10-29,Technical,Low,31.6,4
TKT-0000226,CUST-000300,2023-05-26,Bug,High,53.1,2
TKT-0000227,CUST-004975,2023-09-15,Bug,High,42.7,4
TKT-0000228,CUST-004220,2024-10-28,Technical,Low,12.9,3
TKT-0000229,CUST-002166,2023-05-22,Account,Medium,44.0,4
TKT-0000230,CUST-004718,2024-03-04,Bug,Medium,47.1,5
TKT-0000231,CUST-001175,2023-08-09,Feature Request,Low,9.9,5
TKT-0000232,CUST-003153,2023-09-08,Account,Medium,52.2,5
TKT-0000233,CUST-003184,2024-01-19,Technical,High,60.6,3
TKT-0000234,CUST-002422,2023-07-03,Bug,Medium,22.3,4
TKT-0000235,CUST-003541,2023-08-21,Account,Medium,46.8,5
TKT-0000236,CUST-001474,2023-04-29,Bug,Medium,42.5,4
TKT-0000237,CUST-001360,2024-11-06,Billing,Medium,50.1,5
TKT-0000238,CUST-001489,2024-04-19,Account,Medium,41.8,4
TKT-0000239,CUST-000809,2024-10-06,Technical,High,77.3,5
TKT-0000240,CUST-002934,2023-11-25,Bug,Medium,33.4,3
TKT-0000241,CUST-000099,2023-10-22,Bug,Medium,48.9,5
TKT-0000242,CUST-002777,2024-05-30,Account,High,76.1,5
TKT-0000243,CUST-000538,2024-03-29,Technical,Medium,42.3,4
TKT-0000244,CUST-001132,2024-05-24,Billing,High,44.4,5
TKT-0000245,CUST-000828,2023-05-08,Billing,Low,6.1,5
TKT-0000246,CUST-002806,2024-12-03,Account,Low,16.1,5
TKT-0000247,CUST-004257,2023-07-18,Account,Medium,45.0,5
TKT-0000248,CUST-002642,2023-06-07,Feature Request,High,71.8,4
TKT-0000249,CUST-004593,2023-01-03,Feature Request,High,65.1,5
TKT-0000250,CUST-003032,2023-06-08,Account,Medium,77.8,5
TKT-0000251,CUST-000014,2023-01-18,Account,Low,35.8,3
TKT-0000252,CUST-004888,2024-02-15,Technical,Low,24.2,4
TKT-0000253,CUST-000360,2023-04-03,Feature Request,Low,20.3,2
TKT-0000254,CUST-003895,2024-12-07,Feature Request,Medium,53.4,5
TKT-0000255,CUST-002117,2023-07-31,Feature Request,Medium,23.3,5
TKT-0000256,CUST-004281,2024-09-22,Feature Request,Low,29.5,3
TKT-0000257,CUST-001754,2024-10-14,Technical,Medium,37.9,5
TKT-0000258,CUST-001721,2023-05-14,Bug,High,55.5,5
TKT-0000259,CUST-002403,2023-01-15,Bug,Medium,79.0,5
TKT-0000260,CUST-001323,2023-08-29,Technical,Medium,51.2,5
TKT-0000261,CUST-002935,2023-04-19,Bug,Medium,51.9,4
TKT-0000262,CUST-002425,2024-06-20,Bug,Low,17.1,5
TKT-0000263,CUST-004510,2024-03-01,Bug,Low,25.0,3
TKT-0000264,CUST-004646,2024-04-05,Bug,Low,24.0,4
TKT-0000265,CUST-003138,2024-03-11,Billing,Medium,45.7,4
TKT-0000266,CUST-003401,2024-04-18,Bug,High,89.4,3
TKT-0000267,CUST-002753,2023-10-14,Bug,Low,30.2,4
TKT-0000268,CUST-002389,2023-11-11,Feature Request,Medium,26.6,4
TKT-0000269,CUST-003483,2024-06-14,Feature Request,Medium,31.2,4
TKT-0000270,CUST-002295,2023-06-21,Account,High,103.6,5
TKT-0000271,CUST-001908,2023-07-02,Bug,Medium,83.9,4
TKT-0000272,CUST-002156,2024-06-06,Billing,Medium,53.9,5
TKT-0000273,CUST-003217,2024-05-15,Billing,Medium,12.4,2
TKT-0000274,CUST-000383,2024-07-21,Account,High,101.5,4
TKT-0000275,CUST-003192,2023-01-12,Technical,Low,20.7,4
TKT-0000276,CUST-003895,2024-05-25,Feature Request,High,81.7,2
TKT-0000277,CUST-003807,2023-07-19,Bug,Medium,58.6,3
TKT-0000278,CUST-002650,2024-09-21,Billing,Low,27.1,4
TKT-0000279,CUST-003908,2023-03-05,Account,Medium,58.3,1
TKT-0000280,CUST-002827,2023-02-14,Bug,Medium,63.7,2
TKT-0000281,CUST-004983,2023-11-03,Account,Low,20.4,4
TKT-0000282,CUST-002147,2024-09-18,Bug,Medium,44.1,2
TKT-0000283,CUST-003151,2024-03-18,Technical,Medium,46.5,2
TKT-0000284,CUST-002976,2023-08-24,Bug,Medium,80.0,4
TKT-0000285,CUST-002669,2023-02-02,Feature Request,High,57.9,4
TKT-0000286,CUST-002808,2024-12-15,Bug,Medium,38.8,3
TKT-0000287,CUST-001350,2024-08-15,Billing,High,95.8,4
TKT-0000288,CUST-000343,2024-01-31,Account,Medium,33.3,4
TKT-0000289,CUST-000664,2024-03-03,Account,Low,24.1,4
TKT-0000290,CUST-000974,2024-02-05,Account,Medium,64.7,2
TKT-0000291,CUST-001619,2024-04-04,Technical,Low,17.1,4
TKT-0000292,CUST-001265,2024-03-23,Feature Request,Medium,60.2,3
TKT-0000293,CUST-003226,2023-06-28,Bug,Low,34.3,3
TKT-0000294,CUST-001131,2024-08-04,Technical,High,60.8,4
TKT-0000295,CUST-003487,2024-01-23,Technical,Medium,13.6,4
TKT-0000296,CUST-002843,2023-02-02,Billing,High,85.4,5
TKT-0000297,CUST-001909,2024-10-09,Technical,Medium,58.4,5
TKT-0000298,CUST-003859,2023-06-10,Technical,Medium,71.7,2
TKT-0000299,CUST-003868,2024-12-27,Technical,Low,29.3,5
TKT-0000300,CUST-000875,2024-09-15,Technical,Medium,59.7,4
TKT-0000301,CUST-003830,2024-03-20,Billing,High,73.2,4
TKT-0000302,CUST-001080,2024-10-28,Feature Request,Low,29.2,4
TKT-0000303,CUST-003246,2023-11-16,Bug,High,77.2,5
TKT-0000304,CUST-001422,2024-09-16,Billing,High,106.6,3
TKT-0000305,CUST-003177,2024-09-04,Technical,Medium,46.3,4
TKT-0000306,CUST-004934,2023-03-13,Feature Request,Medium,41.4,3
TKT-0000307,CUST-002685,2024-10-14,Account,Medium,53.9,4
TKT-0000308,CUST-000903,2023-02-12,Bug,High,86.4,4
TKT-0000309,CUST-001488,2023-09-21,Bug,Low,38.8,5
TKT-0000310,CUST-000249,2024-05-19,Feature Request,Medium,44.9,3
TKT-0000311,CUST-004771,2023-05-06,Account,Medium,38.4,5
TKT-0000312,CUST-004603,2024-02-29,Technical,High,78.4,5
TKT-0000313,CUST-004511,2023-11-01,Bug,High,52.1,5
TKT-0000314,CUST-004936,2024-09-01,Feature Request,Medium,17.1,3
TKT-0000315,CUST-002922,2023-12-02,Bug,Critical,136.2,5
TKT-0000316,CUST-004910,2023-09-21,Technical,High,87.7,4
TKT-0000317,CUST-003153,2023-11-25,Billing,Medium,31.0,3
TKT-0000318,CUST-004663,2024-10-15,Technical,Low,34.9,5
TKT-0000319,CUST-002043,2024-05-29,Account,Low,42.5,5
TKT-0000320,CUST-001317,2023-09-29,Feature Request,Medium,45.3,4
TKT-0000321,CUST-001307,2023-11-08,Feature Request,Low,15.3,3
TKT-0000322,CUST-002688,2024-02-21,Bug,Low,42.3,3
TKT-0000323,CUST-002588,2023-12-19,Technical,Low,32.1,4
TKT-0000324,CUST-004334,2024-04-24,Bug,Medium,58.6,5
TKT-0000325,CUST-000514,2024-04-17,Bug,High,88.8,5
TKT-0000326,CUST-002488,2023-05-01,Account,Low,34.9,5
TKT-0000327,CUST-002328,2023-09-09,Account,Low,22.3,3
TKT-0000328,CUST-004847,2024-12-05,Account,Low,20.3,5
TKT-0000329,CUST-002107,2024-10-10,Technical,Low,23.6,5
TKT-0000330,CUST-001794,2024-04-06,Technical,High,66.6,4
TKT-0000331,CUST-001372,2023-04-24,Account,High,42.8,4
TKT-0000332,CUST-002341,2023-12-19,Feature Request,Medium,29.7,4
TKT-0000333,CUST-001184,2023-07-22,Bug,High,75.4,5
TKT-0000334,CUST-002887,2023-09-18,Account,Medium,41.7,4
TKT-0000335,CUST-001087,2023-06-21,Billing,Medium,44.6,5
TKT-0000336,CUST-002941,2024-04-21,Account,Medium,54.6,5
TKT-0000337,CUST-004234,2024-05-29,Feature Request,Low,25.7,4
TKT-0000338,CUST-003891,2024-08-18,Bug,Critical,150.6,5
TKT-0000339,CUST-000252,2023-08-05,Feature Request,High,80.3,5
TKT-0000340,CUST-003844,2024-10-12,Bug,Low,8.1,4
TKT-0000341,CUST-002515,2023-06-28,Account,High,54.6,4
TKT-0000342,CUST-002271,2024-06-17,Billing,Low,30.1,4
TKT-0000343,CUST-003039,2024-04-20,Account,Medium,36.8,2
TKT-0000344,CUST-004439,2023-08-09,Feature Request,Medium,62.8,5
TKT-0000345,CUST-003088,2023-05-30,Account,Medium,26.2,5
TKT-0000346,CUST-002616,2023-06-27,Feature Request,Low,19.5,4
TKT-0000347,CUST-004733,2024-04-24,Feature Request,Medium,54.0,5
TKT-0000348,CUST-002518,2024-01-22,Feature Request,High,65.7,1
TKT-0000349,CUST-000009,2024-03-12,Bug,Medium,29.3,4
TKT-0000350,CUST-000378,2023-11-25,Feature Request,Medium,38.9,4
TKT-0000351,CUST-000690,2023-09-21,Billing,Medium,53.6,1
TKT-0000352,CUST-001025,2024-07-01,Bug,High,82.3,4
TKT-0000353,CUST-002094,2024-10-08,Account,Critical,144.5,4
TKT-0000354,CUST-001671,2023-10-24,Bug,High,50.0,5
TKT-0000355,CUST-004910,2023-05-12,Feature Request,Low,9.0,5
TKT-0000356,CUST-001426,2024-05-26,Bug,Low,19.6,4
TKT-0000357,CUST-003398,2023-11-09,Account,High,76.8,5
TKT-0000358,CUST-001688,2024-08-31,Billing,High,78.6,2
TKT-0000359,CUST-000040,2023-10-24,Technical,Low,19.0,5
TKT-0000360,CUST-001223,2024-03-14,Feature Request,Low,23.4,3
TKT-0000361,CUST-002291,2024-12-06,Billing,Medium,43.1,4
TKT-0000362,CUST-000041,2023-11-09,Account,Medium,51.6,4
TKT-0000363,CUST-003737,2023-12-17,Bug,Critical,124.5,5
TKT-0000364,CUST-002535,2024-10-05,Technical,Medium,45.0,5
TKT-0000365,CUST-004997,2023-10-09,Billing,Low,37.2,4
TKT-0000366,CUST-000152,2024-10-25,Technical,Low,13.7,4
TKT-0000367,CUST-004637,2023-03-02,Bug,Medium,70.4,5
TKT-0000368,CUST-003229,2023-07-13,Feature Request,Medium,43.3,4
TKT-0000369,CUST-003710,2023-01-31,Bug,High,95.9,5
TKT-0000370,CUST-002060,2023-01-29,Feature Request,Medium,47.0,5
TKT-0000371,CUST-004616,2023-06-09,Bug,Low,21.5,3
TKT-0000372,CUST-000947,2024-10-20,Bug,Low,19.2,5
TKT-0000373,CUST-001071,2023-04-13,Bug,Medium,35.1,4
TKT-0000374,CUST-001154,2023-11-04,Billing,High,80.8,4
TKT-0000375,CUST-004214,2023-08-28,Billing,Medium,58.9,4
TKT-0000376,CUST-002866,2024-01-29,Account,Medium,18.7,2
TKT-0000377,CUST-003615,2024-03-01,Account,Medium,52.7,5
TKT-0000378,CUST-002353,2023-12-01,Account,High,65.6,4
TKT-0000379,CUST-003793,2024-07-30,Technical,High,77.9,3
TKT-0000380,CUST-000085,2023-10-28,Bug,High,86.7,5
TKT-0000381,CUST-002166,2024-01-03,Technical,High,94.3,2
TKT-0000382,CUST-001526,2023-07-26,Technical,Medium,55.4,3
TKT-0000383,CUST-002179,2024-07-21,Billing,Medium,65.2,3
TKT-0000384,CUST-000067,2024-07-20,Bug,Low,25.6,1
TKT-0000385,CUST-003865,2023-06-26,Bug,Medium,49.6,5
TKT-0000386,CUST-000552,2023-08-09,Account,Low,25.6,4
TKT-0000387,CUST-003587,2023-05-20,Billing,High,81.2,4
TKT-0000388,CUST-004874,2023-09-12,Account,Low,17.6,4
TKT-0000389,CUST-003318,2023-11-09,Technical,Low,20.8,4
TKT-0000390,CUST-001505,2023-12-07,Bug,Low,18.9,5
TKT-0000391,CUST-000638,2023-09-08,Feature Request,Medium,46.4,5
TKT-0000392,CUST-003606,2023-08-12,Feature Request,Medium,39.5,2
TKT-0000393,CUST-001681,2023-12-24,Billing,High,56.7,4
