customer_id,signup_date,region,plan,industry,company_size,mrr,tenure_months,churned,nps_score,support_tickets,feature_adoption_score
CUST-000023,2023-07-09,North America,Enterprise,Finance,Mid-Market,517.84,18,False,42,3,36.3
CUST-000024,2022-07-24,North America,Pro,Finance,SMB,152.51,29,False,18,1,17.4
CUST-000025,2021-01-14,Europe,Enterprise,Manufacturing,SMB,490.33,48,False,15,1,34.8
CUST-000026,2021-11-23,Asia Pacific,Pro,Manufacturing,SMB,138.06,37,False,24,2,33.4
CUST-000027,2023-05-16,North America,Basic,Education,Enterprise,55.62,19,False,-26,4,59.5
CUST-000028,2022-11-28,Europe,Basic,Education,Mid-Market,66.96,25,False,35,3,26.6
CUST-000029,2022-07-24,Europe,Pro,Manufacturing,SMB,163.9,29,False,32,3,20.1
CUST-000030,2021-11-15,North America,Basic,Manufacturing,Mid-Market,36.87,38,False,36,2,12.4
CUST-000031,2022-03-17,Europe,Basic,Healthcare,SMB,51.03,34,False,30,1,27.3
CUST-000032,2022-11-21,North America,Pro,Healthcare,Mid-Market,160.27,25,False,38,3,50.7
CUST-000033,2021-07-29,North America,Pro,Finance,SMB,135.59,41,False,36,1,9.2
CUST-000034,2021-07-09,Asia Pacific,Pro,Retail,SMB,159.37,42,False,5,0,14.3
CUST-000035,2023-02-18,Latin America,Basic,Healthcare,Mid-Market,41.97,22,False,40,2,21.5
CUST-000036,2021-07-18,Asia Pacific,Basic,Finance,Mid-Market,46.85,42,False,34,4,56.9
CUST-000037,2023-01-06,North America,Pro,Technology,SMB,151.77,24,False,0,5,2.6
CUST-000038,2022-12-06,North America,Enterprise,Education,SMB,509.68,25,False,52,5,23.8
CUST-000039,2022-06-26,Europe,Pro,Retail,Mid-Market,164.32,30,False,29,4,27.4
CUST-000040,2021-03-30,North America,Enterprise,Finance,Mid-Market,495.77,45,False,47,2,35.7
CUST-000041,2023-07-30,North America,Pro,Manufacturing,Mid-Market,144.2,17,False,34,1,37.0
CUST-000042,2024-01-04,Europe,Pro,Technology,SMB,143.54,12,False,0,3,23.5
CUST-000043,2021-09-13,North America,Basic,Education,Enterprise,56.8,40,False,40,3,3.7
CUST-000044,2023-02-15,Asia Pacific,Pro,Technology,Mid-Market,158.96,22,False,44,0,7.4
CUST-000045,2021-06-11,North America,Pro,Finance,Mid-Market,157.94,43,False,58,2,24.5
CUST-000046,2024-02-05,Europe,Pro,Healthcare,Mid-Market,151.7,11,False,53,3,28.2
CUST-000047,2022-08-24,North America,Basic,Education,Startup,52.68,28,False,58,0,27.4
CUST-000048,2023-01-11,Europe,Pro,Technology,Startup,146.7,24,False,49,1,7.3
CUST-000049,2024-03-28,Europe,Basic,Healthcare,Mid-Market,47.63,9,False,25,3,14.2
CUST-000050,2022-01-29,North America,Pro,Retail,SMB,157.54,35,False,25,3,12.2
CUST-000051,2021-05-23,Latin America,Basic,Finance,Mid-Market,51.64,43,False,54,2,37.8
CUST-000052,2021-04-04,Asia Pacific,Pro,Finance,SMB,144.27,45,False,27,3,19.7
CUST-000053,2022-04-12,Asia Pacific,Basic,Education,SMB,59.99,33,False,45,6,3.6
CUST-000054,2022-08-16,Asia Pacific,Basic,Technology,SMB,42.92,28,True,69,3,38.1
CUST-000055,2021-06-13,Europe,Basic,Retail,Mid-Market,50.46,43,False,22,3,13.6
CUST-000056,2022-04-22,Asia Pacific,Pro,Manufacturing,SMB,136.6,32,True,49,0,13.8
CUST-000057,2021-07-26,North America,Basic,Education,Mid-Market,39.54,41,False,18,4,41.7
CUST-000058,2023-02-18,North America,Basic,Manufacturing,SMB,49.19,22,True,46,5,16.6
CUST-000059,2022-07-24,North America,Pro,Education,Mid-Market,142.04,29,False,67,4,9.1
CUST-000060,2023-07-18,North America,Basic,Technology,Startup,46.71,17,False,61,5,7.4
CUST-000061,2023-01-18,North America,Enterprise,Retail,Startup,511.13,23,False,27,2,37.2
CUST-000062,2021-11-30,North America,Enterprise,Technology,Mid-Market,497.75,37,False,66,2,58.0
CUST-000063,2023-01-29,Asia Pacific,Pro,Finance,SMB,158.0,23,False,30,3,40.7
CUST-000064,2022-12-29,North America,Basic,Manufacturing,Startup,41.19,24,False,80,3,38.3
CUST-000065,2022-03-06,North America,Pro,Healthcare,Enterprise,154.49,34,False,35,0,21.8
CUST-000066,2022-07-01,Europe,Basic,Finance,SMB,39.0,30,False,48,3,27.5
CUST-000067,2021-05-27,North America,Basic,Finance,SMB,46.5,43,False,47,4,63.3
CUST-000068,2021-12-17,Asia Pacific,Basic,Manufacturing,Startup,54.89,37,False,13,2,47.7
CUST-000069,2023-12-30,North America,Enterprise,Education,SMB,499.13,12,True,62,5,19.9
CUST-000070,2022-05-17,Latin America,Basic,Finance,SMB,58.42,31,False,39,1,33.7
CUST-000071,2021-12-01,Asia Pacific,Pro,Retail,SMB,155.68,37,False,23,4,16.1
CUST-000072,2023-08-05,North America,Pro,Finance,Mid-Market,145.92,17,False,19,4,16.4
CUST-000073,2023-02-17,North America,Basic,Retail,SMB,61.97,22,True,22,5,34.5
CUST-000074,2022-07-07,Asia Pacific,Basic,Technology,Mid-Market,53.36,30,False,33,1,3.9
CUST-000075,2024-02-15,Europe,Enterprise,Education,Startup,496.56,10,False,13,4,43.9
CUST-000076,2022-03-26,Europe,Pro,Retail,SMB,150.46,33,False,18,1,30.4
CUST-000077,2022-10-27,Asia Pacific,Pro,Finance,Startup,149.91,26,False,0,1,24.3
CUST-000078,2021-04-25,North America,Basic,Education,Mid-Market,51.02,44,False,18,4,20.4
CUST-000079,2022-04-15,North America,Basic,Education,Mid-Market,47.58,33,False,62,2,16.5
CUST-000080,2021-03-07,North America,Basic,Retail,Mid-Market,52.73,46,False,59,1,20.5
CUST-000081,2022-10-09,Asia Pacific,Basic,Retail,SMB,56.9,27,False,40,1,7.9
CUST-000082,2023-04-02,Europe,Basic,Healthcare,Mid-Market,53.26,21,False,77,0,67.5
CUST-000083,2022-07-03,North America,Pro,Healthcare,Mid-Market,152.92,30,False,59,2,41.3
CUST-000084,2021-05-16,North America,Basic,Education,Startup,47.99,44,False,43,1,44.3
CUST-000085,2022-03-09,North America,Basic,Manufacturing,SMB,40.14,34,False,45,1,52.3
CUST-000086,2024-03-07,North America,Pro,Manufacturing,SMB,137.71,9,False,36,2,63.3
CUST-000087,2022-10-07,Europe,Pro,Healthcare,Mid-Market,141.92,27,False,9,1,16.7
CUST-000088,2022-03-12,Europe,Basic,Finance,Startup,44.82,34,False,29,3,16.7
CUST-000089,2023-10-20,Asia Pacific,Pro,Technology,Mid-Market,165.72,14,False,-16,0,57.3
CUST-000090,2023-03-22,Europe,Basic,Education,SMB,61.52,21,False,13,2,21.5
CUST-000091,2023-07-29,North America,Basic,Technology,SMB,43.07,17,False,62,1,15.0
CUST-000092,2021-10-20,Europe,Basic,Healthcare,SMB,53.5,38,True,36,1,37.0
CUST-000093,2022-06-27,Asia Pacific,Pro,Retail,SMB,148.32,30,False,13,1,31.4
CUST-000094,2021-10-13,Europe,Basic,Education,Startup,51.36,39,False,45,2,27.0
CUST-000095,2022-05-21,Asia Pacific,Basic,Healthcare,Startup,43.51,31,False,47,2,39.6
CUST-000096,2024-02-24,Europe,Basic,Finance,Mid-Market,71.42,10,False,65,2,18.7
CUST-000097,2024-01-09,Europe,Pro,Education,SMB,167.64,11,False,70,0,21.2
CUST-000098,2022-06-23,North America,Basic,Education,SMB,46.07,30,False,50,4,3.6
CUST-000099,2024-04-12,North America,Basic,Manufacturing,Startup,43.04,8,False,4,1,20.7
CUST-000100,2023-05-28,North America,Basic,Retail,SMB,58.25,19,False,80,1,20.9
CUST-000101,2024-04-10,North America,Basic,Education,Startup,36.9,8,False,62,3,2.7
CUST-000102,2023-03-29,Europe,Pro,Retail,SMB,157.46,21,False,51,2,3.4
CUST-000103,2023-01-12,North America,Pro,Healthcare,SMB,150.25,23,False,34,1,21.1
CUST-000104,2022-03-26,Europe,Basic,Finance,SMB,34.66,33,False,4,2,3.2
CUST-000105,2021-10-11,Asia Pacific,Basic,Finance,Enterprise,47.48,39,False,23,2,62.1
CUST-000106,2023-11-10,North America,Basic,Education,SMB,42.44,13,False,33,2,19.0
CUST-000107,2023-10-08,North America,Basic,Education,SMB,50.62,15,False,26,2,30.2
CUST-000108,2021-07-06,Asia Pacific,Basic,Healthcare,SMB,49.58,42,False,56,0,11.5
CUST-000109,2021-04-07,North America,Pro,Manufacturing,Startup,135.53,45,False,33,2,22.6
CUST-000110,2021-08-13,North America,Enterprise,Manufacturing,Mid-Market,495.66,41,False,19,3,38.3
CUST-000111,2021-11-10,North America,Enterprise,Manufacturing,SMB,504.75,38,False,45,7,30.0
CUST-000112,2021-11-24,North America,Enterprise,Retail,Startup,506.47,37,False,18,5,52.7
CUST-000113,2023-05-15,Asia Pacific,Pro,Manufacturing,Mid-Market,145.37,19,False,2,1,40.3
CUST-000114,2021-05-11,Asia Pacific,Pro,Finance,Startup,153.58,44,False,45,2,65.9
CUST-000115,2023-02-28,Europe,Basic,Retail,Enterprise,51.66,22,False,33,4,36.9
CUST-000116,2023-02-21,Asia Pacific,Pro,Healthcare,Mid-Market,148.47,22,False,38,3,42.6
CUST-000117,2023-08-17,Asia Pacific,Basic,Finance,SMB,53.64,16,False,62,4,7.7
CUST-000118,2023-12-20,North America,Basic,Finance,Startup,39.75,12,False,40,0,23.1
CUST-000119,2022-05-30,Asia Pacific,Pro,Technology,Startup,149.01,31,False,46,5,20.9
CUST-000120,2024-02-08,Europe,Basic,Healthcare,SMB,32.96,10,False,35,1,29.3
CUST-000121,2021-01-24,Asia Pacific,Basic,Healthcare,Startup,48.46,47,False,51,1,35.2
CUST-000122,2021-08-23,Asia Pacific,Enterprise,Technology,SMB,513.25,40,True,-7,3,30.7
CUST-000123,2024-01-05,North America,Basic,Retail,Enterprise,45.8,12,False,19,2,29.6
CUST-000124,2022-07-01,North America,Basic,Manufacturing,SMB,62.25,30,False,27,0,37.7
CUST-000125,2022-11-28,North America,Enterprise,Manufacturing,Mid-Market,495.96,25,False,25,4,31.8
CUST-000126,2021-08-17,North America,Pro,Manufacturing,Mid-Market,138.15,41,False,19,2,10.1
CUST-000127,2022-08-25,Asia Pacific,Pro,Manufacturing,Mid-Market,155.65,28,False,33,2,9.1
CUST-000128,2023-06-10,Asia Pacific,Basic,Manufacturing,Startup,53.64,19,False,32,1,17.6
CUST-000129,2021-11-20,North America,Basic,Technology,SMB,72.19,37,False,33,3,39.6
CUST-000130,2023-07-19,Europe,Enterprise,Healthcare,Mid-Market,489.21,17,False,39,1,30.0
CUST-000131,2021-01-07,North America,Pro,Retail,Mid-Market,152.56,48,False,44,3,35.3
CUST-000132,2022-06-24,North America,Pro,Finance,Enterprise,152.92,30,False,19,3,29.1
CUST-000133,2023-10-23,North America,Basic,Manufacturing,Mid-Market,59.58,14,False,24,2,25.8
CUST-000134,2022-01-01,North America,Basic,Technology,Startup,54.3,36,False,53,2,23.1
CUST-000135,2023-11-06,Asia Pacific,Enterprise,Retail,SMB,496.12,14,False,16,2,47.7
CUST-000136,2021-08-06,North America,Basic,Retail,Startup,38.29,41,False,18,3,26.4
CUST-000137,2022-09-04,Europe,Pro,Retail,Mid-Market,152.47,28,False,19,4,57.6
CUST-000138,2023-11-06,Europe,Basic,Technology,SMB,52.74,14,False,31,2,13.1
CUST-000139,2022-02-12,North America,Pro,Finance,Mid-Market,155.31,35,False,54,0,30.4
CUST-000140,2021-11-10,Latin America,Enterprise,Manufacturing,Enterprise,496.11,38,False,45,8,27.3
CUST-000141,2023-02-05,Latin America,Pro,Retail,Mid-Market,151.78,23,False,17,0,54.2
CUST-000142,2021-11-27,North America,Basic,Technology,SMB,33.56,37,False,71,0,45.9
CUST-000143,2024-01-10,Europe,Pro,Healthcare,Startup,138.71,11,False,21,0,20.1
CUST-000144,2023-12-23,North America,Pro,Technology,Mid-Market,158.36,12,False,2,4,12.4
CUST-000145,2021-01-02,North America,Basic,Technology,Startup,50.8,48,False,71,3,59.4
CUST-000146,2022-10-26,North America,Enterprise,Technology,Startup,503.76,26,False,18,3,20.8
CUST-000147,2023-09-28,Europe,Pro,Retail,Startup,143.02,15,False,32,3,12.3
CUST-000148,2021-02-09,Europe,Enterprise,Technology,SMB,491.75,47,False,32,3,76.0
CUST-000149,2021-08-18,North America,Pro,Healthcare,Startup,144.76,41,False,46,2,23.3
CUST-000150,2023-01-14,North America,Basic,Retail,Enterprise,51.38,23,False,-1,7,26.2
CUST-000151,2022-09-22,Asia Pacific,Basic,Healthcare,Enterprise,55.86,27,False,28,2,21.6
CUST-000152,2022-05-06,North America,Basic,Education,Enterprise,46.51,32,False,27,2,42.0
CUST-000153,2021-04-29,North America,Enterprise,Technology,Startup,482.4,44,False,63,4,55.7
CUST-000154,2022-05-09,Europe,Pro,Manufacturing,Enterprise,153.01,32,True,24,3,18.4
CUST-000155,2024-03-07,Latin America,Pro,Manufacturing,Enterprise,151.67,9,False,28,2,25.0
CUST-000156,2021-06-11,North America,Basic,Retail,Enterprise,53.79,43,False,50,4,49.1
CUST-000157,2021-06-25,Europe,Basic,Manufacturing,Mid-Market,57.56,42,False,45,5,9.1
CUST-000158,2023-09-23,Asia Pacific,Pro,Retail,Mid-Market,156.78,15,False,20,5,39.7
CUST-000159,2021-05-22,North America,Basic,Technology,Startup,62.61,43,False,43,5,38.0
CUST-000160,2023-12-27,Europe,Basic,Finance,Mid-Market,49.28,12,False,20,1,3.6
CUST-000161,2021-09-15,North America,Pro,Finance,Startup,144.68,40,True,51,1,32.4
CUST-000162,2021-09-20,Europe,Basic,Healthcare,SMB,59.41,39,False,31,2,50.1
CUST-000163,2023-09-01,Europe,Basic,Technology,Enterprise,58.08,16,True,9,2,62.8
CUST-000164,2024-01-31,Europe,Basic,Manufacturing,SMB,46.67,11,False,-7,4,27.6
CUST-000165,2021-12-05,North America,Basic,Technology,Startup,60.06,37,False,27,3,15.5
CUST-000166,2022-06-27,Asia Pacific,Enterprise,Education,Enterprise,499.75,30,False,19,3,52.6
CUST-000167,2023-12-17,North America,Basic,Finance,Enterprise,61.76,12,False,30,2,7.1
CUST-000168,2023-05-17,North America,Basic,Manufacturing,Startup,66.29,19,False,34,4,7.1
CUST-000169,2022-03-10,North America,Basic,Finance,Mid-Market,75.41,34,False,-3,1,48.4
CUST-000170,2024-01-10,Europe,Pro,Technology,SMB,149.62,11,False,20,0,50.7
CUST-000171,2022-02-16,Europe,Basic,Manufacturing,SMB,63.15,34,False,32,2,32.6
CUST-000172,2022-10-01,North America,Pro,Healthcare,SMB,157.54,27,False,37,2,38.7
CUST-000173,2023-03-29,Europe,Basic,Technology,Startup,58.47,21,False,50,2,30.3
CUST-000174,2023-02-04,North America,Basic,Healthcare,SMB,53.24,23,False,54,0,8.3
CUST-000175,2023-06-17,Europe,Basic,Manufacturing,Startup,58.51,18,False,30,2,29.4
CUST-000176,2023-11-26,North America,Pro,Finance,Enterprise,135.26,13,False,32,1,15.6
CUST-000177,2023-07-14,Europe,Enterprise,Education,Mid-Market,498.71,17,False,25,2,24.0
CUST-000178,2021-09-05,North America,Basic,Retail,Mid-Market,42.47,40,False,48,7,30.1
CUST-000179,2022-05-23,Asia Pacific,Pro,Finance,Mid-Market,141.63,31,False,27,3,5.4
CUST-000180,2022-04-06,North America,Enterprise,Healthcare,Startup,484.64,33,False,15,4,41.5
CUST-000181,2021-05-12,North America,Basic,Technology,Enterprise,43.73,44,False,1,0,43.9
CUST-000182,2022-11-24,North America,Pro,Manufacturing,Mid-Market,147.26,25,False,16,2,18.5
CUST-000183,2021-02-13,Asia Pacific,Basic,Finance,SMB,50.84,47,False,29,3,22.9
CUST-000184,2024-02-09,Asia Pacific,Enterprise,Education,Startup,498.88,10,False,54,0,33.3
CUST-000185,2022-04-17,North America,Pro,Manufacturing,Mid-Market,159.52,32,False,35,2,41.3
CUST-000186,2022-03-28,Europe,Enterprise,Healthcare,Mid-Market,490.04,33,False,37,1,37.2
CUST-000187,2021-01-15,Asia Pacific,Pro,Manufacturing,Mid-Market,129.56,48,False,35,4,41.9
CUST-000188,2021-05-26,Europe,Basic,Manufacturing,Startup,54.31,43,False,60,2,40.7
CUST-000189,2021-05-01,Europe,Enterprise,Technology,Startup,498.53,44,False,45,1,54.0
CUST-000190,2022-04-14,North America,Basic,Retail,SMB,48.33,33,False,34,3,30.9
CUST-000191,2021-05-19,North America,Basic,Healthcare,Mid-Market,41.87,44,False,23,2,9.6
CUST-000192,2021-03-06,Asia Pacific,Pro,Technology,Startup,158.09,46,False,9,1,15.9
CUST-000193,2022-11-08,Asia Pacific,Pro,Retail,SMB,144.81,26,True,68,2,40.6
CUST-000194,2021-05-26,Europe,Enterprise,Technology,SMB,490.16,43,False,51,4,33.7
CUST-000195,2023-11-19,North America,Basic,Retail,Mid-Market,65.74,13,False,31,6,54.8
CUST-000196,2022-05-03,North America,Pro,Retail,SMB,155.92,32,False,70,2,46.2
CUST-000197,2022-07-25,Europe,Pro,Retail,SMB,148.6,29,False,34,1,35.9
CUST-000198,2023-09-22,Asia Pacific,Basic,Technology,Mid-Market,24.59,15,True,18,3,41.9
CUST-000199,2022-03-15,Asia Pacific,Basic,Manufacturing,Enterprise,46.65,34,False,59,2,25.0
CUST-000200,2024-01-10,Asia Pacific,Basic,Retail,Startup,48.78,11,False,9,0,26.2
CUST-000201,2021-09-28,Europe,Basic,Manufacturing,SMB,63.64,39,False,26,6,19.6
CUST-000202,2024-03-15,North America,Enterprise,Healthcare,Enterprise,481.5,9,False,10,1,32.9
CUST-000203,2024-03-26,North America,Pro,Education,SMB,164.6,9,True,19,4,29.7
CUST-000204,2023-08-27,Asia Pacific,Pro,Manufacturing,Mid-Market,153.37,16,False,38,0,48.7
CUST-000205,2022-05-13,Europe,Enterprise,Education,Mid-Market,486.92,32,False,41,1,48.8
CUST-000206,2023-08-27,North America,Basic,Retail,SMB,58.22,16,False,12,3,28.8
CUST-000207,2023-04-14,North America,Pro,Education,Mid-Market,146.56,20,False,71,5,37.2
CUST-000208,2022-01-25,Europe,Basic,Education,Mid-Market,32.38,35,False,-6,2,42.0
CUST-000209,2021-07-13,North America,Enterprise,Retail,SMB,494.56,42,False,37,5,60.9
CUST-000210,2021-07-18,North America,Basic,Manufacturing,Startup,51.55,42,False,38,2,38.3
CUST-000211,2023-06-02,Europe,Enterprise,Retail,Enterprise,499.62,19,True,40,3,23.1
CUST-000212,2022-12-27,Europe,Basic,Healthcare,SMB,55.43,24,False,52,1,14.2
CUST-000213,2023-05-18,Europe,Basic,Finance,Mid-Market,59.97,19,False,-25,2,40.5
CUST-000214,2023-04-22,North America,Pro,Technology,Mid-Market,138.01,20,False,19,3,30.1
CUST-000215,2023-08-15,Europe,Basic,Retail,SMB,48.79,16,False,38,4,34.3
CUST-000216,2021-04-21,North America,Pro,Retail,Mid-Market,142.9,45,False,69,3,32.8
CUST-000217,2021-07-21,North America,Basic,Education,Enterprise,36.51,41,False,23,4,10.8
CUST-000218,2021-05-05,Europe,Pro,Healthcare,SMB,148.48,44,False,31,1,30.7
CUST-000219,2023-04-05,Europe,Basic,Education,SMB,53.32,21,False,49,1,17.1
CUST-000220,2022-11-26,Asia Pacific,Basic,Manufacturing,Enterprise,53.91,25,False,10,1,9.9
CUST-000221,2021-08-12,Europe,Basic,Retail,Startup,45.05,41,True,35,3,29.0
CUST-000222,2022-05-25,Europe,Basic,Retail,Startup,38.92,31,False,32,1,55.1
CUST-000223,2022-01-28,North America,Basic,Education,Enterprise,42.55,35,False,22,2,53.6
CUST-000224,2022-01-25,North America,Basic,Retail,Mid-Market,30.23,35,False,45,0,2.8
CUST-000225,2024-01-04,North America,Basic,Manufacturing,Enterprise,37.11,12,False,78,4,33.3
CUST-000226,2023-07-08,North America,Basic,Finance,Startup,37.97,18,False,38,2,25.6
CUST-000227,2021-10-15,Latin America,Pro,Technology,Startup,157.45,39,True,-9,2,24.3
CUST-000228,2023-05-15,North America,Enterprise,Technology,Startup,507.44,19,False,17,0,38.4
CUST-000229,2022-01-11,Asia Pacific,Basic,Technology,Mid-Market,70.29,36,False,64,0,18.7
CUST-000230,2022-07-25,Europe,Pro,Finance,Mid-Market,151.4,29,False,30,1,19.5
CUST-000231,2023-08-06,Asia Pacific,Pro,Retail,SMB,144.16,17,False,11,1,30.1
CUST-000232,2022-05-27,Europe,Basic,Education,Startup,49.12,31,False,50,1,22.3
CUST-000233,2021-06-04,Europe,Pro,Healthcare,Mid-Market,147.31,43,False,22,2,23.5
CUST-000234,2023-06-27,Europe,Basic,Retail,SMB,42.68,18,False,35,4,15.7
CUST-000235,2024-02-02,North America,Pro,Finance,Startup,152.2,11,False,12,4,20.8
CUST-000236,2021-07-20,Europe,Basic,Manufacturing,Enterprise,50.93,42,False,26,2,34.7
CUST-000237,2021-04-14,North America,Pro,Finance,Startup,148.17,45,False,34,2,54.3
CUST-000238,2024-01-13,North America,Pro,Technology,Mid-Market,146.06,11,True,32,2,35.5
CUST-000239,2021-01-31,Europe,Basic,Retail,Mid-Market,55.32,47,False,42,4,9.3
CUST-000240,2021-07-11,North America,Basic,Technology,SMB,43.46,42,False,39,1,52.0
CUST-000241,2022-04-30,Asia Pacific,Enterprise,Healthcare,Startup,494.97,32,False,14,2,60.9
CUST-000242,2021-12-07,Latin America,Basic,Manufacturing,SMB,53.75,37,False,68,4,24.6
CUST-000243,2023-04-13,Asia Pacific,Pro,Technology,Mid-Market,159.11,20,False,31,3,13.0
CUST-000244,2023-09-22,North America,Enterprise,Healthcare,SMB,508.2,15,False,7,3,21.1
CUST-000245,2023-09-13,North America,Pro,Finance,Mid-Market,146.4,15,False,-9,1,28.9
CUST-000246,2022-03-14,Asia Pacific,Pro,Technology,Enterprise,136.36,34,False,36,2,19.2
CUST-000247,2023-04-02,North America,Pro,Technology,Enterprise,146.11,21,True,16,3,37.1
CUST-000248,2021-05-01,Latin America,Enterprise,Education,SMB,499.74,44,False,46,2,51.6
CUST-000249,2021-12-04,Latin America,Basic,Manufacturing,Mid-Market,37.86,37,False,35,2,18.7
CUST-000250,2023-02-16,Asia Pacific,Basic,Manufacturing,Enterprise,45.92,22,False,100,2,10.1
CUST-000251,2021-01-05,North America,Basic,Finance,SMB,61.07,48,False,9,1,52.0
CUST-000252,2023-03-11,North America,Enterprise,Education,SMB,500.47,22,False,56,4,40.5
CUST-000253,2022-06-28,Asia Pacific,Pro,Healthcare,Startup,143.59,30,False,13,3,11.4
CUST-000254,2023-07-21,North America,Basic,Healthcare,Startup,49.29,17,False,51,2,25.5
CUST-000255,2022-08-08,North America,Enterprise,Finance,Mid-Market,499.84,29,False,63,2,41.6
CUST-000256,2023-05-17,Europe,Basic,Manufacturing,SMB,45.27,19,False,28,2,16.6
CUST-000257,2024-02-13,Asia Pacific,Basic,Healthcare,Mid-Market,56.72,10,True,20,1,44.8
CUST-000258,2023-09-24,Europe,Pro,Finance,Mid-Market,130.72,15,False,31,1,27.1
CUST-000259,2021-11-14,Europe,Basic,Healthcare,Mid-Market,53.72,38,False,20,0,34.1
CUST-000260,2022-01-24,North America,Enterprise,Retail,Mid-Market,493.27,35,False,67,6,71.2
CUST-000261,2022-08-31,Europe,Basic,Technology,Startup,59.46,28,False,31,4,7.6
CUST-000262,2022-03-22,Latin America,Pro,Manufacturing,Mid-Market,136.25,33,False,43,1,38.4
CUST-000263,2021-04-30,North America,Pro,Retail,SMB,158.39,44,True,44,2,37.5
CUST-000264,2024-04-01,Europe,Basic,Finance,SMB,41.11,9,False,52,0,7.2
CUST-000265,2024-01-16,Asia Pacific,Enterprise,Finance,Startup,502.22,11,False,25,3,25.2
CUST-000266,2021-05-05,Europe,Pro,Retail,Enterprise,144.35,44,False,50,4,10.4
CUST-000267,2022-10-05,Europe,Basic,Technology,Enterprise,60.27,27,False,61,2,13.5
CUST-000268,2021-04-28,Europe,Basic,Technology,SMB,47.09,44,True,31,3,45.3
CUST-000269,2021-04-13,North America,Enterprise,Education,SMB,491.77,45,False,8,2,52.3
CUST-000270,2024-04-11,North America,Basic,Healthcare,Mid-Market,62.99,8,False,62,2,18.0
CUST-000271,2023-09-04,Asia Pacific,Basic,Education,SMB,46.2,16,False,38,3,30.9
CUST-000272,2023-10-27,Asia Pacific,Basic,Technology,Startup,54.22,14,False,35,2,27.1
CUST-000273,2023-12-24,Asia Pacific,Basic,Retail,Mid-Market,58.39,12,False,48,3,17.7
CUST-000274,2021-11-19,Asia Pacific,Pro,Healthcare,Startup,140.21,37,False,63,3,19.6
CUST-000275,2021-04-27,Europe,Basic,Retail,SMB,53.22,44,False,30,2,15.8
CUST-000276,2023-11-07,Europe,Basic,Education,SMB,54.57,14,False,60,1,48.5
CUST-000277,2021-06-14,Asia Pacific,Basic,Finance,SMB,33.53,43,False,36,0,59.6
CUST-000278,2022-01-16,Europe,Basic,Retail,Startup,52.23,36,False,47,2,25.1
CUST-000279,2021-05-21,Europe,Enterprise,Education,SMB,495.46,44,False,22,2,18.7
CUST-000280,2021-05-20,Asia Pacific,Basic,Education,SMB,65.2,44,False,29,2,12.5
CUST-000281,2022-04-27,Asia Pacific,Enterprise,Education,SMB,507.66,32,False,56,4,33.1
CUST-000282,2023-04-07,North America,Basic,Finance,Mid-Market,53.39,21,False,-4,4,47.4
CUST-000283,2021-09-03,North America,Basic,Finance,Enterprise,28.59,40,False,49,1,44.2
CUST-000284,2024-03-12,North America,Enterprise,Finance,Startup,503.45,9,False,42,3,34.1
CUST-000285,2022-05-20,Europe,Basic,Healthcare,Mid-Market,41.39,31,False,68,1,20.1
