transaction_id,customer_id,transaction_date,transaction_type,amount
TXN-00000068,CUST-004022,2023-07-01,Subscription,499.78
TXN-00000069,CUST-003909,2024-08-28,Renewal,147.8
TXN-00000070,CUST-004615,2024-09-03,Upgrade,836.87
TXN-00000071,CUST-003660,2024-04-12,Upgrade,679.76
TXN-00000072,CUST-002153,2024-10-08,Upgrade,843.33
TXN-00000073,CUST-000203,2024-10-13,Renewal,147.61
TXN-00000074,CUST-004092,2024-07-31,Upgrade,87.23
TXN-00000075,CUST-001831,2024-03-21,Upgrade,941.52
TXN-00000076,CUST-000195,2024-06-20,Renewal,47.35
TXN-00000077,CUST-004055,2024-10-17,Subscription,151.12
TXN-00000078,CUST-001639,2024-10-16,Renewal,44.27
TXN-00000079,CUST-000216,2024-06-30,Subscription,146.21
TXN-00000080,CUST-002017,2023-11-14,Upgrade,85.47
TXN-00000081,CUST-002782,2023-12-22,Upgrade,85.72
TXN-00000082,CUST-000676,2024-05-08,Upgrade,58.96
TXN-00000083,CUST-002947,2024-07-06,Renewal,146.61
TXN-00000084,CUST-003142,2023-08-21,Subscription,144.16
TXN-00000085,CUST-004792,2023-04-02,Subscription,150.25
TXN-00000086,CUST-004676,2024-03-28,Renewal,141.9
TXN-00000087,CUST-003213,2023-11-12,Add-on,5.69
TXN-00000088,CUST-002993,2024-01-10,Add-on,21.09
TXN-00000089,CUST-004859,2024-02-27,Renewal,60.94
TXN-00000090,CUST-001259,2023-09-24,Subscription,144.69
TXN-00000091,CUST-000963,2023-06-09,Add-on,16.26
TXN-00000092,CUST-004588,2023-11-07,Renewal,59.8
TXN-00000093,CUST-002863,2023-01-11,Renewal,41.1
TXN-00000094,CUST-003664,2023-01-01,Add-on,6.39
TXN-00000095,CUST-003302,2024-06-19,Add-on,12.44
TXN-00000096,CUST-002885,2023-05-20,Subscription,44.51
TXN-00000097,CUST-000500,2023-12-19,Renewal,156.04
TXN-00000098,CUST-002503,2023-10-21,Renewal,51.1
TXN-00000099,CUST-003908,2024-04-25,Renewal,141.05
TXN-00000100,CUST-000248,2024-07-01,Add-on,145.03
TXN-00000101,CUST-001248,2023-01-09,Add-on,46.69
TXN-00000102,CUST-003310,2024-12-05,Upgrade,293.04
TXN-00000103,CUST-002668,2024-05-18,Subscription,150.74
TXN-00000104,CUST-001728,2024-05-03,Subscription,43.77
TXN-00000105,CUST-003825,2023-11-03,Renewal,499.38
TXN-00000106,CUST-002657,2023-01-10,Upgrade,202.32
TXN-00000107,CUST-003850,2024-03-16,Renewal,47.78
TXN-00000108,CUST-002607,2023-10-27,Subscription,45.91
TXN-00000109,CUST-001765,2024-09-03,Add-on,38.8
TXN-00000110,CUST-003547,2023-08-25,Subscription,153.12
TXN-00000111,CUST-001376,2023-01-08,Add-on,15.01
TXN-00000112,CUST-004553,2024-07-15,Renewal,141.25
TXN-00000113,CUST-004402,2024-01-18,Subscription,53.24
TXN-00000114,CUST-001284,2023-07-13,Add-on,24.24
TXN-00000115,CUST-003569,2024-02-26,Add-on,17.35
TXN-00000116,CUST-002955,2024-07-28,Renewal,495.65
TXN-00000117,CUST-004335,2024-03-23,Upgrade,79.84
TXN-00000118,CUST-003890,2024-02-09,Renewal,48.56
TXN-00000119,CUST-001400,2023-09-13,Upgrade,785.28
TXN-00000120,CUST-003160,2023-06-17,Add-on,45.44
TXN-00000121,CUST-003323,2024-10-23,Renewal,48.66
TXN-00000122,CUST-001910,2024-02-04,Renewal,44.13
TXN-00000123,CUST-004256,2024-01-23,Upgrade,88.01
TXN-00000124,CUST-003151,2023-08-14,Subscription,150.61
TXN-00000125,CUST-002363,2023-09-27,Upgrade,200.0
TXN-00000126,CUST-003554,2023-03-23,Subscription,44.22
TXN-00000127,CUST-004839,2024-03-08,Renewal,143.93
TXN-00000128,CUST-002572,2024-10-02,Renewal,141.95
TXN-00000129,CUST-002666,2023-09-03,Subscription,45.22
TXN-00000130,CUST-000898,2024-06-13,Upgrade,69.14
TXN-00000131,CUST-003062,2024-09-19,Upgrade,92.91
TXN-00000132,CUST-002866,2024-12-11,Renewal,502.63
TXN-00000133,CUST-004915,2024-12-02,Subscription,49.22
TXN-00000134,CUST-001951,2023-10-06,Upgrade,216.46
TXN-00000135,CUST-002801,2023-10-19,Subscription,57.48
TXN-00000136,CUST-000153,2024-10-26,Subscription,500.51
TXN-00000137,CUST-002295,2024-06-28,Add-on,11.38
TXN-00000138,CUST-004409,2023-10-03,Subscription,56.03
TXN-00000139,CUST-002972,2024-02-27,Subscription,146.79
TXN-00000140,CUST-003885,2023-07-12,Upgrade,291.88
TXN-00000141,CUST-000282,2023-03-12,Renewal,39.42
TXN-00000142,CUST-002244,2023-07-06,Subscription,155.89
TXN-00000143,CUST-004125,2023-05-20,Upgrade,73.97
TXN-00000144,CUST-002127,2023-10-24,Subscription,54.51
TXN-00000145,CUST-004834,2023-04-24,Renewal,498.67
TXN-00000146,CUST-001917,2024-10-14,Subscription,50.68
TXN-00000147,CUST-001616,2024-04-11,Renewal,143.03
TXN-00000148,CUST-002565,2024-09-24,Renewal,149.22
TXN-00000149,CUST-003572,2024-04-08,Subscription,46.53
TXN-00000150,CUST-000866,2023-10-06,Subscription,59.65
TXN-00000151,CUST-002966,2024-12-18,Subscription,46.27
TXN-00000152,CUST-000037,2024-09-29,Renewal,147.94
TXN-00000153,CUST-004170,2024-05-18,Upgrade,84.1
TXN-00000154,CUST-001145,2023-07-12,Upgrade,222.78
TXN-00000155,CUST-001567,2023-11-25,Renewal,146.22
TXN-00000156,CUST-001786,2023-01-20,Upgrade,917.12
TXN-00000157,CUST-000290,2023-06-05,Upgrade,271.42
TXN-00000158,CUST-004661,2023-02-20,Renewal,141.7
TXN-00000159,CUST-001637,2024-07-01,Upgrade,696.28
TXN-00000160,CUST-004629,2023-01-23,Upgrade,72.96
TXN-00000161,CUST-001432,2023-07-10,Add-on,61.7
TXN-00000162,CUST-003680,2023-04-15,Renewal,43.47
TXN-00000163,CUST-003934,2023-10-16,Add-on,69.71
TXN-00000164,CUST-003301,2023-10-03,Renewal,146.97
TXN-00000165,CUST-000785,2023-05-09,Subscription,46.74
TXN-00000166,CUST-004910,2024-03-24,Upgrade,78.04
TXN-00000167,CUST-002276,2023-01-09,Add-on,241.18
TXN-00000168,CUST-004255,2023-08-27,Subscription,151.08
TXN-00000169,CUST-001202,2023-04-03,Renewal,42.7
TXN-00000170,CUST-000299,2023-06-04,Renewal,38.14
TXN-00000171,CUST-000529,2023-01-16,Add-on,11.59
TXN-00000172,CUST-003918,2024-05-20,Renewal,161.77
TXN-00000173,CUST-003782,2023-08-11,Renewal,497.98
TXN-00000174,CUST-002782,2023-12-17,Upgrade,62.33
TXN-00000175,CUST-001947,2024-03-06,Upgrade,62.43
TXN-00000176,CUST-003624,2023-11-16,Add-on,60.73
TXN-00000177,CUST-004133,2024-05-25,Add-on,73.47
TXN-00000178,CUST-004752,2024-01-16,Renewal,54.69
TXN-00000179,CUST-000077,2024-04-19,Subscription,148.86
TXN-00000180,CUST-004559,2024-12-14,Renewal,147.35
TXN-00000181,CUST-001562,2023-02-02,Renewal,53.67
TXN-00000182,CUST-003515,2023-12-05,Upgrade,71.69
TXN-00000183,CUST-002525,2023-03-24,Subscription,51.16
TXN-00000184,CUST-001729,2023-05-30,Upgrade,939.56
TXN-00000185,CUST-004001,2023-02-27,Upgrade,726.26
TXN-00000186,CUST-000124,2023-09-30,Subscription,50.21
TXN-00000187,CUST-004962,2024-02-06,Add-on,36.06
TXN-00000188,CUST-004416,2023-03-15,Add-on,19.33
TXN-00000189,CUST-002530,2024-07-10,Add-on,11.12
TXN-00000190,CUST-001405,2024-04-26,Subscription,49.16
TXN-00000191,CUST-001729,2023-07-05,Add-on,108.31
TXN-00000192,CUST-002881,2023-07-16,Renewal,54.92
TXN-00000193,CUST-002528,2023-09-14,Subscription,153.67
TXN-00000194,CUST-004797,2024-01-26,Add-on,74.78
TXN-00000195,CUST-002176,2023-01-13,Upgrade,95.33
TXN-00000196,CUST-003282,2023-05-05,Subscription,495.49
TXN-00000197,CUST-002881,2023-09-12,Renewal,54.68
TXN-00000198,CUST-000894,2024-01-30,Upgrade,89.86
TXN-00000199,CUST-000286,2024-03-29,Add-on,61.34
TXN-00000200,CUST-000745,2023-09-11,Add-on,18.12
TXN-00000201,CUST-001662,2023-02-04,Add-on,14.69
TXN-00000202,CUST-000604,2023-07-23,Subscription,147.57
TXN-00000203,CUST-002007,2024-04-16,Add-on,38.14
TXN-00000204,CUST-002698,2023-04-07,Add-on,49.51
TXN-00000205,CUST-003949,2024-06-17,Upgrade,79.46
TXN-00000206,CUST-003564,2024-11-12,Subscription,498.5
TXN-00000207,CUST-004166,2023-08-02,Subscription,138.01
TXN-00000208,CUST-004893,2024-04-29,Add-on,36.66
TXN-00000209,CUST-002446,2024-02-03,Subscription,153.95
TXN-00000210,CUST-002950,2024-11-28,Add-on,20.32
TXN-00000211,CUST-002348,2023-11-16,Renewal,51.34
TXN-00000212,CUST-003066,2023-11-27,Subscription,49.63
TXN-00000213,CUST-003447,2023-06-12,Subscription,138.33
TXN-00000214,CUST-001044,2024-10-06,Upgrade,59.22
TXN-00000215,CUST-000971,2023-02-13,Upgrade,282.54
TXN-00000216,CUST-000450,2024-07-16,Add-on,9.71
TXN-00000217,CUST-004441,2024-06-17,Subscription,43.17
TXN-00000218,CUST-003727,2023-05-06,Upgrade,85.38
TXN-00000219,CUST-004087,2023-09-17,Renewal,48.01
TXN-00000220,CUST-002319,2024-05-07,Renewal,38.38
TXN-00000221,CUST-003083,2024-10-15,Subscription,52.56
TXN-00000222,CUST-004531,2023-11-02,Add-on,15.39
TXN-00000223,CUST-000033,2023-07-23,Renewal,151.47
TXN-00000224,CUST-004709,2024-01-05,Subscription,46.04
TXN-00000225,CUST-001405,2023-02-23,Subscription,52.56
TXN-00000226,CUST-004009,2024-11-13,Renewal,41.76
TXN-00000227,CUST-002551,2023-08-12,Renewal,494.04
TXN-00000228,CUST-000331,2023-04-26,Renewal,47.47
TXN-00000229,CUST-004087,2023-08-30,Subscription,47.76
TXN-00000230,CUST-004921,2024-10-10,Upgrade,67.16
TXN-00000231,CUST-000320,2024-03-20,Upgrade,259.44
TXN-00000232,CUST-000201,2023-11-29,Add-on,15.55
TXN-00000233,CUST-004683,2023-01-16,Add-on,20.91
TXN-00000234,CUST-002977,2023-06-21,Add-on,200.21
TXN-00000235,CUST-001057,2023-10-10,Renewal,52.62
TXN-00000236,CUST-004699,2024-08-21,Add-on,72.99
TXN-00000237,CUST-000914,2023-05-03,Add-on,6.67
TXN-00000238,CUST-003390,2024-02-10,Renewal,48.46
TXN-00000239,CUST-003887,2023-09-06,Renewal,151.63
TXN-00000240,CUST-001118,2023-01-10,Add-on,140.89
TXN-00000241,CUST-000317,2023-02-13,Subscription,55.31
TXN-00000242,CUST-004432,2024-08-18,Upgrade,89.01
TXN-00000243,CUST-001048,2024-12-08,Renewal,146.02
TXN-00000244,CUST-001729,2024-05-01,Renewal,496.28
TXN-00000245,CUST-003915,2024-12-05,Add-on,9.06
TXN-00000246,CUST-004172,2024-09-02,Subscription,492.46
TXN-00000247,CUST-004378,2023-06-08,Subscription,45.56
TXN-00000248,CUST-001875,2024-01-16,Renewal,498.39
TXN-00000249,CUST-000961,2023-04-02,Upgrade,92.02
TXN-00000250,CUST-003317,2023-09-12,Upgrade,883.06
TXN-00000251,CUST-004798,2023-06-11,Add-on,61.61
TXN-00000252,CUST-003340,2024-05-26,Renewal,156.75
TXN-00000253,CUST-003736,2023-04-04,Upgrade,644.07
TXN-00000254,CUST-002528,2024-12-03,Renewal,154.55
TXN-00000255,CUST-004903,2024-09-25,Upgrade,61.08
TXN-00000256,CUST-004758,2023-12-13,Subscription,497.63
TXN-00000257,CUST-000252,2024-10-02,Add-on,143.12
TXN-00000258,CUST-003588,2023-03-03,Renewal,150.74
TXN-00000259,CUST-003101,2023-03-03,Add-on,54.68
TXN-00000260,CUST-002182,2023-12-31,Renewal,49.87
TXN-00000261,CUST-004143,2024-10-22,Upgrade,647.39
TXN-00000262,CUST-001591,2023-06-07,Upgrade,63.65
TXN-00000263,CUST-002024,2024-12-19,Renewal,148.98
TXN-00000264,CUST-002794,2024-07-03,Upgrade,189.18
TXN-00000265,CUST-000615,2023-04-20,Subscription,38.1
TXN-00000266,CUST-001014,2023-05-09,Renewal,149.56
TXN-00000267,CUST-000246,2024-05-14,Upgrade,264.18
TXN-00000268,CUST-000409,2023-08-27,Subscription,58.29
TXN-00000269,CUST-002733,2023-11-21,Upgrade,78.83
TXN-00000270,CUST-003208,2024-07-25,Subscription,57.19
TXN-00000271,CUST-003851,2024-10-22,Add-on,247.92
TXN-00000272,CUST-003457,2023-12-22,Add-on,47.03
TXN-00000273,CUST-001478,2024-03-25,Add-on,6.32
TXN-00000274,CUST-002406,2023-07-17,Upgrade,71.43
TXN-00000275,CUST-002716,2023-01-22,Upgrade,910.45
TXN-00000276,CUST-002441,2024-12-06,Upgrade,253.71
TXN-00000277,CUST-000098,2024-01-22,Upgrade,85.61
TXN-00000278,CUST-003121,2024-01-02,Add-on,22.97
TXN-00000279,CUST-001986,2023-05-18,Subscription,47.19
TXN-00000280,CUST-004007,2023-09-14,Renewal,48.79
TXN-00000281,CUST-002109,2023-02-10,Add-on,247.52
TXN-00000282,CUST-001396,2024-05-11,Subscription,44.44
TXN-00000283,CUST-004931,2024-12-24,Add-on,47.6
TXN-00000284,CUST-000427,2024-03-24,Add-on,167.7
TXN-00000285,CUST-002221,2024-07-26,Upgrade,824.08
TXN-00000286,CUST-001577,2023-10-29,Renewal,498.48
TXN-00000287,CUST-000606,2024-07-09,Renewal,148.81
TXN-00000288,CUST-000147,2024-12-14,Subscription,149.48
TXN-00000289,CUST-000300,2024-05-16,Renewal,52.02
TXN-00000290,CUST-002966,2023-07-14,Upgrade,66.8
TXN-00000291,CUST-000549,2024-08-03,Add-on,21.15
TXN-00000292,CUST-003013,2023-07-11,Add-on,68.92
TXN-00000293,CUST-004075,2024-07-10,Renewal,45.26
TXN-00000294,CUST-004302,2023-12-23,Renewal,54.22
TXN-00000295,CUST-002510,2023-11-28,Add-on,80.05
TXN-00000296,CUST-001481,2024-04-24,Renewal,147.74
TXN-00000297,CUST-000376,2023-10-09,Upgrade,265.12
TXN-00000298,CUST-000906,2024-09-05,Subscription,148.67
TXN-00000299,CUST-004767,2024-07-21,Add-on,58.35
TXN-00000300,CUST-002869,2023-06-14,Add-on,6.17
TXN-00000301,CUST-001183,2023-03-12,Add-on,8.9
TXN-00000302,CUST-000656,2024-06-27,Subscription,44.77
TXN-00000303,CUST-004395,2023-06-08,Renewal,46.43
TXN-00000304,CUST-000123,2024-04-05,Add-on,17.98
TXN-00000305,CUST-003339,2023-10-30,Subscription,51.23
TXN-00000306,CUST-004016,2023-09-27,Renewal,50.59
TXN-00000307,CUST-001655,2024-07-08,Subscription,60.06
TXN-00000308,CUST-001448,2024-01-11,Renewal,47.14
TXN-00000309,CUST-001601,2024-04-09,Subscription,142.33
TXN-00000310,CUST-003258,2023-01-01,Add-on,174.0
TXN-00000311,CUST-000155,2024-10-15,Subscription,150.1
TXN-00000312,CUST-002217,2024-06-02,Upgrade,251.2
TXN-00000313,CUST-000910,2024-01-24,Upgrade,67.76
TXN-00000314,CUST-004436,2023-07-09,Subscription,50.41
TXN-00000315,CUST-000223,2023-01-20,Subscription,52.04
TXN-00000316,CUST-002562,2024-09-26,Renewal,146.26
TXN-00000317,CUST-003538,2024-01-08,Subscription,493.03
TXN-00000318,CUST-004821,2024-09-27,Add-on,72.8
TXN-00000319,CUST-001037,2023-09-02,Subscription,155.91
TXN-00000320,CUST-003665,2023-11-25,Upgrade,284.86
TXN-00000321,CUST-000716,2023-03-06,Add-on,18.06
TXN-00000322,CUST-003498,2024-11-05,Add-on,36.91
TXN-00000323,CUST-000214,2024-07-05,Renewal,150.89
TXN-00000324,CUST-001944,2024-02-01,Renewal,48.18
TXN-00000325,CUST-000015,2023-07-14,Subscription,55.9
TXN-00000326,CUST-004231,2024-06-20,Add-on,23.32
TXN-00000327,CUST-003965,2024-11-30,Upgrade,237.45
TXN-00000328,CUST-004523,2024-05-24,Renewal,497.7
TXN-00000329,CUST-003610,2024-07-18,Renewal,495.68
TXN-00000330,CUST-001581,2023-06-07,Add-on,180.16
TXN-00000331,CUST-002588,2024-09-19,Subscription,150.23
TXN-00000332,CUST-002933,2023-10-17,Upgrade,204.44
TXN-00000333,CUST-004963,2023-11-27,Upgrade,85.08
TXN-00000334,CUST-002093,2024-02-24,Renewal,148.94
TXN-00000335,CUST-001832,2024-10-18,Add-on,15.11
TXN-00000336,CUST-002344,2023-11-26,Upgrade,77.75
TXN-00000337,CUST-002826,2023-04-24,Upgrade,900.88
TXN-00000338,CUST-003043,2023-04-09,Subscription,44.25
TXN-00000339,CUST-003325,2024-06-19,Upgrade,88.38
TXN-00000340,CUST-000816,2024-11-05,Renewal,53.54
TXN-00000341,CUST-000685,2023-03-10,Add-on,22.63
TXN-00000342,CUST-003824,2023-02-14,Subscription,56.13
TXN-00000343,CUST-004594,2023-05-13,Renewal,39.69
TXN-00000344,CUST-002195,2023-07-02,Upgrade,185.86
TXN-00000345,CUST-003192,2023-02-02,Subscription,53.64
TXN-00000346,CUST-004602,2023-07-26,Upgrade,242.67
TXN-00000347,CUST-001052,2023-04-20,Renewal,496.21
TXN-00000348,CUST-001452,2024-05-12,Renewal,492.29
TXN-00000349,CUST-002007,2023-07-16,Renewal,149.72
TXN-00000350,CUST-004118,2023-04-12,Renewal,496.69
TXN-00000351,CUST-002348,2023-02-02,Subscription,47.33
TXN-00000352,CUST-003686,2024-08-07,Renewal,152.69
TXN-00000353,CUST-000496,2024-10-19,Renewal,47.53
TXN-00000354,CUST-002079,2024-02-02,Renewal,150.2
TXN-00000355,CUST-001115,2024-11-04,Renewal,47.03
TXN-00000356,CUST-003333,2024-05-16,Subscription,150.04
TXN-00000357,CUST-004586,2024-06-22,Subscription,145.17
TXN-00000358,CUST-001024,2024-09-30,Upgrade,64.95
TXN-00000359,CUST-002245,2024-12-19,Add-on,8.52
TXN-00000360,CUST-000127,2024-08-27,Renewal,142.39
TXN-00000361,CUST-001874,2023-09-20,Upgrade,86.2
TXN-00000362,CUST-002141,2023-02-20,Add-on,69.02
TXN-00000363,CUST-004539,2024-01-11,Upgrade,95.41
TXN-00000364,CUST-003741,2023-08-15,Subscription,145.68
TXN-00000365,CUST-004325,2024-09-12,Upgrade,83.45
TXN-00000366,CUST-002353,2023-03-14,Upgrade,87.0
TXN-00000367,CUST-001536,2023-01-14,Upgrade,82.1
TXN-00000368,CUST-001409,2023-08-02,Upgrade,252.5
TXN-00000369,CUST-000899,2024-11-02,Add-on,232.73
TXN-00000370,CUST-000928,2024-05-18,Subscription,155.22
TXN-00000371,CUST-000279,2023-03-23,Subscription,500.72
TXN-00000372,CUST-004075,2024-04-24,Upgrade,78.08
TXN-00000373,CUST-003410,2024-10-16,Renewal,52.57
TXN-00000374,CUST-004075,2023-03-04,Renewal,56.8
TXN-00000375,CUST-000228,2024-01-05,Upgrade,967.64
TXN-00000376,CUST-002042,2024-07-25,Renewal,48.64
TXN-00000377,CUST-004059,2024-03-01,Renewal,49.71
TXN-00000378,CUST-000624,2024-01-13,Add-on,65.66
TXN-00000379,CUST-000912,2024-12-26,Subscription,499.24
TXN-00000380,CUST-002161,2023-03-01,Subscription,148.52
TXN-00000381,CUST-002634,2024-09-23,Renewal,491.23
TXN-00000382,CUST-001511,2023-09-30,Renewal,46.07
TXN-00000383,CUST-001669,2024-06-25,Subscription,52.97
TXN-00000384,CUST-004587,2023-02-11,Add-on,12.55
TXN-00000385,CUST-001141,2023-03-14,Upgrade,64.33
TXN-00000386,CUST-004195,2023-11-08,Add-on,32.28
TXN-00000387,CUST-000849,2023-03-21,Add-on,22.58
TXN-00000388,CUST-004915,2023-08-10,Renewal,54.76
TXN-00000389,CUST-004996,2024-06-15,Subscription,504.98
TXN-00000390,CUST-004085,2023-04-10,Add-on,9.8
TXN-00000391,CUST-001055,2023-04-14,Add-on,23.61
TXN-00000392,CUST-001181,2023-08-25,Subscription,149.22
TXN-00000393,CUST-003600,2024-06-28,Upgrade,231.23
TXN-00000394,CUST-004151,2024-01-30,Upgrade,266.82
TXN-00000395,CUST-001042,2023-07-14,Upgrade,70.63
TXN-00000396,CUST-001957,2023-07-17,Add-on,51.89
TXN-00000397,CUST-003644,2024-06-22,Subscription,45.67
TXN-00000398,CUST-001243,2024-11-03,Renewal,145.14
TXN-00000399,CUST-003679,2023-09-12,Add-on,37.44
TXN-00000400,CUST-003287,2024-08-06,Renewal,43.57
TXN-00000401,CUST-002666,2024-10-02,Add-on,8.95
TXN-00000402,CUST-004441,2023-07-03,Renewal,50.84
TXN-00000403,CUST-000566,2024-07-25,Add-on,19.04
TXN-00000404,CUST-000973,2024-07-25,Upgrade,179.27
TXN-00000405,CUST-000337,2024-03-01,Renewal,56.67
TXN-00000406,CUST-001639,2023-04-19,Subscription,47.99
TXN-00000407,CUST-001972,2024-10-15,Subscription,149.41
TXN-00000408,CUST-001916,2024-08-13,Renewal,50.7
TXN-00000409,CUST-001153,2024-01-02,Upgrade,84.99
TXN-00000410,CUST-004279,2024-11-21,Renewal,45.36
TXN-00000411,CUST-000234,2024-04-14,Upgrade,78.32
TXN-00000412,CUST-002927,2024-12-20,Renewal,500.94
TXN-00000413,CUST-002578,2024-11-12,Upgrade,184.31
TXN-00000414,CUST-003306,2024-03-13,Subscription,59.44
TXN-00000415,CUST-001652,2023-04-17,Add-on,153.2
TXN-00000416,CUST-001417,2023-06-20,Renewal,54.22
TXN-00000417,CUST-002650,2023-07-04,Add-on,60.74
TXN-00000418,CUST-000655,2024-07-17,Add-on,7.51
TXN-00000419,CUST-002510,2024-02-16,Upgrade,674.73
TXN-00000420,CUST-004105,2024-05-31,Upgrade,77.84
TXN-00000421,CUST-001183,2023-12-12,Renewal,55.32
TXN-00000422,CUST-001634,2024-11-04,Renewal,142.39
TXN-00000423,CUST-001410,2023-06-11,Renewal,497.97
TXN-00000424,CUST-004198,2024-06-30,Add-on,185.28
TXN-00000425,CUST-004205,2024-09-06,Subscription,494.6
TXN-00000426,CUST-004710,2024-03-29,Add-on,33.55
TXN-00000427,CUST-002426,2023-12-27,Subscription,53.63
TXN-00000428,CUST-000641,2023-11-19,Subscription,144.63
TXN-00000429,CUST-001005,2024-07-17,Upgrade,73.1
TXN-00000430,CUST-004055,2023-11-29,Add-on,41.19
TXN-00000431,CUST-002753,2024-01-16,Subscription,44.21
TXN-00000432,CUST-000368,2024-02-27,Upgrade,77.78
TXN-00000433,CUST-000263,2024-10-10,Add-on,43.8
TXN-00000434,CUST-001582,2024-03-16,Add-on,173.11
TXN-00000435,CUST-002981,2023-11-28,Subscription,49.24
TXN-00000436,CUST-003443,2024-09-15,Upgrade,239.13
TXN-00000437,CUST-004785,2023-09-04,Add-on,20.66
TXN-00000438,CUST-000776,2024-07-30,Add-on,17.24
TXN-00000439,CUST-004925,2024-07-12,Add-on,31.48
TXN-00000440,CUST-002212,2023-08-08,Renewal,38.21
TXN-00000441,CUST-001922,2024-01-20,Renewal,49.68
TXN-00000442,CUST-000375,2024-07-17,Upgrade,60.7
TXN-00000443,CUST-002093,2023-09-18,Upgrade,231.47
TXN-00000444,CUST-004724,2024-01-04,Upgrade,252.84
TXN-00000445,CUST-003462,2024-04-08,Subscription,496.91
TXN-00000446,CUST-001266,2024-04-03,Add-on,74.42
