price,median_income,house_age,avg_rooms,avg_bedrooms,population,avg_occupancy,latitude,longitude,lot_size_sqft,garage_spaces,has_pool,has_basement,distance_to_city,school_rating,property_tax_rate,year_built
346864.51,4.0,17,5.3,1.2,2700,2.44,34.87,-120.9,3448.0,1,1,1,10.5,5,1.27,2007
218242.95,2.05,42,4.6,2.0,1257,5.15,40.12,-114.61,1911.0,2,0,0,11.2,8,1.28,1982
222156.75,2.38,12,4.8,1.4,1202,1.63,37.38,-116.84,2077.0,1,0,1,40.9,10,1.05,2012
232553.74,2.32,48,5.3,1.5,1069,3.82,34.87,-115.05,3209.0,2,0,0,39.0,7,1.29,1976
242944.57,1.51,46,7.2,1.7,3580,1.54,37.51,-117.12,2109.0,2,0,0,1.0,6,1.4,1978
195236.9,3.06,27,3.8,0.7,2112,1.98,34.36,-118.53,5945.0,3,0,0,106.9,6,0.71,1997
183317.61,3.02,48,2.2,0.9,5640,3.34,33.53,-119.15,2957.0,2,0,0,23.2,6,1.19,1976
244282.07,2.72,8,3.9,0.6,2311,4.25,40.46,-121.44,1452.0,3,0,1,7.1,4,0.56,2016
292689.99,2.47,23,7.0,0.8,6136,2.66,39.14,-121.37,2849.0,3,1,0,20.4,8,0.76,2001
161960.96,1.54,42,3.0,0.9,3041,3.1,34.45,-122.16,2704.0,2,0,0,7.1,6,0.77,1982
191004.26,2.3,49,4.6,0.7,1468,4.52,41.45,-120.45,5872.0,0,0,0,41.3,8,0.89,1975
259498.97,2.37,29,6.8,1.2,1622,1.53,32.73,-123.17,3049.0,3,0,1,7.1,5,1.33,1995
253440.06,1.97,50,5.4,1.3,7803,3.92,35.67,-120.43,4018.0,4,0,0,21.8,6,1.05,1974
298179.57,2.55,20,7.2,0.4,5130,2.17,32.71,-115.75,2769.0,2,0,1,2.5,9,1.46,2004
204089.29,3.2,16,2.4,0.9,6231,3.29,33.85,-115.36,4978.0,1,0,0,28.7,6,1.24,2008
383581.61,5.78,17,5.0,0.9,807,3.65,34.21,-117.75,5774.0,3,0,0,14.5,6,1.26,2007
349315.71,2.91,16,7.5,0.4,403,1.59,40.2,-121.8,1891.0,2,1,1,24.7,6,1.51,2008
211846.03,3.01,19,3.8,0.7,921,2.1,41.93,-121.98,2223.0,1,0,0,8.1,9,0.85,2005
318143.61,2.64,8,7.1,1.5,2063,3.8,40.74,-121.58,2682.0,3,0,1,6.4,6,1.25,2016
198267.92,1.26,38,5.1,1.5,1078,2.69,38.53,-119.25,4727.0,3,0,0,11.4,9,1.22,1986
245738.98,2.69,38,6.2,0.3,1848,2.14,39.37,-114.25,2161.0,3,0,0,7.4,6,1.16,1986
291673.73,2.78,29,7.4,1.3,1260,3.23,37.47,-123.35,981.0,3,0,0,10.8,10,1.58,1995
438776.21,7.28,41,6.1,0.4,440,1.7,36.51,-119.24,4468.0,2,0,1,8.4,7,1.34,1983
247672.87,2.52,36,4.6,0.9,2548,1.58,39.08,-117.34,2025.0,2,0,1,3.3,4,1.02,1988
209849.32,3.07,26,6.3,1.1,1853,0.13,41.74,-121.92,2523.0,2,0,1,56.3,6,0.97,1998
256375.44,2.68,31,4.5,1.5,5236,3.43,32.77,-114.32,2456.0,3,0,1,0.2,8,1.16,1993
222268.04,1.7,44,5.9,1.0,2054,3.04,35.48,-120.84,1054.0,2,0,0,39.0,9,1.52,1980
328912.26,4.29,12,3.6,0.6,3381,3.65,35.64,-114.71,1655.0,3,1,0,26.4,4,1.38,2012
315207.52,3.67,17,5.5,0.5,938,4.47,36.44,-118.23,4575.0,2,1,0,8.2,7,1.29,2007
310895.66,3.73,15,7.3,1.2,2386,2.71,38.46,-124.46,2927.0,3,0,0,5.8,7,0.98,2009
247812.02,1.89,9,5.1,0.8,3452,2.92,37.38,-121.23,4809.0,3,1,0,2.7,6,1.08,2015
387599.64,4.76,39,7.1,0.9,2821,3.41,32.68,-124.27,6693.0,3,0,0,2.1,6,0.52,1985
316808.67,1.55,42,10.1,1.6,1508,2.32,36.41,-120.49,1318.0,1,1,1,12.0,6,1.44,1982
311479.15,3.44,48,5.5,1.3,2393,1.25,38.38,-114.71,2526.0,2,1,0,1.7,6,1.36,1976
492147.36,6.53,12,6.4,1.9,2975,1.62,37.3,-116.32,2821.0,3,1,1,9.7,7,1.99,2012
223237.51,1.83,32,6.2,0.6,4727,2.95,40.78,-117.99,6353.0,1,0,1,25.3,3,1.27,1992
248107.44,2.17,25,5.8,0.7,1154,4.2,36.29,-118.85,1737.0,4,0,0,21.2,7,1.54,1999
289543.68,2.83,39,6.7,1.2,739,4.88,32.62,-120.59,3513.0,2,0,0,2.1,6,1.33,1985
269977.94,2.22,18,5.1,2.0,929,2.66,35.21,-122.28,5667.0,4,0,0,48.7,7,1.2,2006
254077.32,1.46,15,4.5,0.7,2031,3.2,33.79,-123.84,4653.0,3,1,1,5.1,10,1.34,2009
231882.67,2.79,32,3.2,1.1,1814,5.24,34.88,-122.5,3849.0,3,1,0,18.3,8,1.35,1992
311753.09,1.78,6,5.0,1.8,2986,3.62,35.94,-120.81,2083.0,2,1,1,5.4,9,1.2,2018
356413.16,3.29,44,6.9,1.1,3514,3.16,38.93,-119.04,5135.0,2,0,1,14.4,6,1.37,1980
249383.65,1.88,43,4.1,1.6,400,3.25,35.58,-122.35,1335.0,2,0,1,12.7,8,1.64,1981
374045.17,5.05,35,5.9,2.1,1230,3.7,40.9,-114.27,3831.0,3,0,1,2.9,7,1.25,1989
222774.19,1.99,34,5.3,1.2,2142,1.54,35.35,-123.69,1254.0,1,0,0,15.9,7,1.54,1990
264031.83,2.39,38,4.6,1.3,4412,3.91,33.8,-123.5,7284.0,2,0,1,5.9,6,1.56,1986
226553.43,3.76,5,2.7,1.5,1732,3.53,34.1,-117.33,1679.0,3,0,1,14.2,4,1.32,2019
261553.08,1.66,18,7.5,0.6,5390,4.31,41.38,-116.57,2367.0,2,0,1,11.7,9,1.48,2006
289529.41,2.98,16,6.3,0.4,2810,3.59,36.82,-114.29,6858.0,3,0,1,27.7,8,0.63,2008
403920.82,4.59,8,9.5,1.2,2451,4.23,36.33,-118.93,3731.0,2,0,1,3.6,7,1.07,2016
268670.52,1.43,25,7.1,0.8,1655,1.89,33.15,-122.76,2073.0,2,0,1,2.5,7,1.18,1999
290917.11,2.93,32,7.5,1.6,1772,2.28,39.47,-114.65,3166.0,3,0,1,29.0,8,1.24,1992
252640.43,3.02,26,2.9,1.3,2355,3.18,39.1,-114.21,3450.0,3,0,1,8.8,7,1.44,1998
238262.93,3.72,22,2.8,1.6,1546,2.1,36.07,-114.8,3683.0,0,0,0,22.8,5,1.0,2002
181346.79,1.66,31,5.6,0.5,4403,4.03,39.07,-115.35,2683.0,2,1,1,48.1,1,0.79,1993
201801.38,1.6,43,3.8,1.6,3654,1.3,35.99,-123.69,2537.0,4,1,0,11.8,6,1.2,1981
258386.06,3.35,10,4.5,-0.0,4714,2.81,33.2,-115.52,4204.0,1,0,0,5.4,7,0.85,2014
333011.87,3.06,12,9.3,0.5,786,2.32,39.51,-114.49,2627.0,2,0,1,23.7,6,1.03,2012
330823.64,3.0,28,7.3,1.4,766,2.11,41.67,-118.7,1742.0,2,1,1,40.1,7,0.81,1996
278904.24,3.12,6,4.1,0.8,2671,1.35,38.66,-116.39,2546.0,3,0,0,4.2,8,1.64,2018
138735.8,2.07,20,2.0,0.9,1695,3.05,35.13,-117.56,2951.0,1,0,0,17.5,8,1.25,2004
228577.73,2.98,5,4.0,1.2,2224,2.9,35.06,-121.48,3544.0,0,0,1,22.8,5,1.05,2019
279834.6,3.06,23,4.7,1.8,739,5.29,41.33,-118.33,3288.0,3,0,0,0.4,7,0.95,2001
222760.36,2.04,9,5.0,0.1,563,5.99,35.38,-115.16,1541.0,2,0,0,13.5,9,1.05,2015
355672.82,5.73,29,3.6,1.7,2177,1.72,39.8,-119.29,3825.0,2,1,0,15.0,4,1.65,1995
311202.72,3.29,16,7.2,1.8,984,0.72,38.61,-118.3,2686.0,4,0,1,15.2,8,0.75,2008
195135.34,1.69,46,4.4,0.8,3201,1.56,38.13,-118.92,2251.0,2,0,0,1.3,9,1.12,1978
309312.32,3.53,22,6.5,0.8,1105,2.93,34.22,-121.53,4759.0,3,0,0,0.3,8,1.26,2002
220513.11,1.84,8,5.6,1.0,888,4.35,32.83,-117.74,2077.0,2,0,1,5.2,3,0.89,2016
319498.65,3.72,20,6.9,0.7,294,2.42,37.14,-119.15,7277.0,4,0,0,6.6,5,0.92,2004
339393.28,4.32,51,5.1,1.3,4905,3.69,41.89,-122.06,6931.0,2,0,0,2.3,5,0.89,1973
268772.09,1.96,14,4.1,1.3,3159,2.04,34.36,-115.1,4935.0,3,1,0,10.7,9,1.23,2010
371209.99,4.0,39,4.6,0.3,546,2.42,37.6,-114.52,2129.0,1,1,1,3.9,10,1.37,1985
265291.67,3.21,37,4.6,0.6,365,3.2,38.87,-123.92,3971.0,2,0,0,6.2,6,1.49,1987
340389.77,3.78,50,8.6,0.5,1121,2.99,37.09,-117.97,3410.0,2,0,0,5.2,9,1.09,1974
357484.73,5.8,34,5.6,1.2,3857,2.96,37.32,-120.14,2078.0,1,0,1,22.2,4,1.35,1990
222514.83,2.46,11,5.5,1.5,1185,1.7,38.78,-118.98,5088.0,2,0,1,31.4,1,1.51,2013
256583.62,2.01,40,6.8,0.6,1531,4.47,40.24,-120.57,2981.0,1,0,0,5.3,7,1.31,1984
239873.65,1.9,33,5.5,1.5,3993,4.46,35.67,-119.52,875.0,3,0,0,7.1,10,1.22,1991
251971.92,1.96,31,7.2,0.6,820,4.48,41.04,-121.1,6242.0,3,0,0,25.3,7,1.01,1993
285786.58,2.64,44,4.9,1.5,1047,2.19,37.11,-123.27,6341.0,2,1,1,21.4,10,0.96,1980
296034.48,3.12,34,4.8,1.0,2155,3.14,38.79,-121.33,2887.0,2,1,0,18.5,7,1.62,1990
277952.2,3.04,50,4.0,0.9,1444,2.37,33.51,-117.46,4065.0,2,0,0,18.5,6,1.12,1974
404164.32,3.78,7,8.3,1.7,896,1.83,37.18,-123.97,3542.0,2,0,1,5.3,9,1.17,2017
215607.45,2.73,49,5.4,2.0,3183,3.34,32.65,-120.48,2350.0,2,0,1,41.4,2,1.96,1975
334039.87,4.86,23,3.7,0.1,2736,0.45,36.21,-124.06,11324.0,2,0,0,24.8,6,1.12,2001
216018.4,2.45,46,5.8,1.4,3518,4.02,33.02,-120.76,2189.0,1,0,1,3.6,6,1.09,1978
454471.53,8.07,7,4.5,1.2,1599,1.6,41.02,-123.58,3058.0,4,0,0,16.3,3,1.26,2017
280531.36,3.49,25,4.9,1.4,441,2.62,38.89,-120.93,1704.0,2,0,0,2.5,7,0.74,1999
261117.55,1.93,3,6.0,0.4,1823,0.28,40.02,-115.7,4574.0,2,1,0,12.9,6,1.04,2021
323599.2,1.77,38,7.8,0.6,708,5.17,36.94,-118.06,4214.0,3,1,1,5.1,6,1.0,1986
279168.0,3.3,20,5.7,0.8,357,3.79,40.59,-117.34,4585.0,2,0,0,1.7,8,0.97,2004
228298.74,2.49,34,4.4,1.2,1451,3.1,40.79,-119.21,1620.0,2,0,0,13.9,3,1.6,1990
311527.28,3.62,49,4.7,0.7,1961,2.17,35.89,-114.81,3422.0,1,1,0,32.4,10,0.96,1975
362750.35,3.28,44,6.5,0.9,6493,1.72,36.08,-118.82,3630.0,2,1,1,2.3,7,0.99,1980
220537.3,2.64,44,2.6,1.5,689,2.76,37.33,-123.4,1544.0,3,0,1,34.4,9,1.17,1980
242073.41,1.94,30,3.9,2.1,3107,3.36,32.9,-114.7,3623.0,2,1,1,2.1,6,0.97,1994
215304.96,1.48,17,5.8,1.5,503,2.72,41.96,-123.1,2157.0,2,0,1,20.3,6,1.11,2007
165544.52,2.27,10,2.9,1.5,4994,3.64,35.91,-114.01,2568.0,2,0,0,68.5,9,1.08,2014
322551.06,3.83,35,5.0,1.0,1032,5.23,36.97,-119.93,3979.0,3,1,0,1.5,4,1.11,1989
273843.38,2.96,20,4.8,0.7,1383,1.71,39.67,-123.73,3292.0,2,0,1,3.6,4,0.79,2004
284447.62,1.65,18,6.8,0.9,1397,3.28,35.33,-115.43,2056.0,4,0,0,9.3,8,1.41,2006
250771.0,2.91,45,5.1,1.1,3318,5.09,34.42,-123.52,1690.0,4,0,0,20.1,7,1.3,1979
274089.54,3.17,44,7.3,0.5,566,2.63,33.71,-122.67,2746.0,0,0,0,34.2,8,1.1,1980
195497.37,1.91,27,5.6,1.5,1568,2.83,37.52,-120.12,3335.0,2,0,0,19.6,6,1.26,1997
297827.28,2.89,49,8.2,1.9,1082,3.55,32.55,-117.4,3002.0,1,0,1,22.1,5,1.06,1975
203251.19,2.78,36,3.4,1.2,10492,3.81,39.24,-123.23,2799.0,2,0,0,9.0,8,1.17,1988
230935.65,1.72,23,7.9,1.6,759,4.26,36.88,-117.96,2657.0,2,0,1,6.6,2,0.63,2001
274964.47,3.14,32,4.9,1.7,229,3.13,37.55,-116.31,6113.0,2,0,1,10.6,6,1.34,1992
271942.57,3.4,10,7.7,0.6,7014,2.05,35.0,-123.2,3276.0,1,0,0,15.7,7,0.88,2014
316347.76,4.19,11,7.3,0.2,2678,3.67,34.19,-117.7,3299.0,3,0,0,10.5,3,1.15,2013
266827.31,4.14,38,1.2,0.9,963,1.84,39.15,-114.43,2670.0,3,0,1,23.4,5,1.29,1986
183545.63,1.57,6,6.2,1.1,1762,3.4,34.5,-114.34,2409.0,2,0,0,2.6,5,1.74,2018
285470.2,1.87,41,7.0,0.5,952,3.09,39.91,-122.8,7640.0,2,0,1,7.6,9,1.46,1983
324042.12,3.34,47,7.5,1.8,377,3.06,34.43,-116.52,3951.0,0,0,0,1.0,7,0.58,1977
327195.52,3.34,34,3.7,2.1,1585,2.9,38.32,-115.61,4397.0,2,1,0,16.7,8,1.0,1990
252457.75,3.34,36,6.4,1.2,1576,4.2,38.62,-115.17,1997.0,3,0,0,21.2,3,1.12,1988
693711.12,12.69,37,5.8,0.6,2371,3.74,37.3,-121.1,4888.0,3,1,1,16.5,4,1.09,1987
294256.23,3.42,17,6.1,1.3,830,3.83,41.97,-121.66,1806.0,0,0,1,46.6,7,0.69,2007
320099.44,4.28,40,7.0,0.6,972,2.44,36.07,-124.0,3522.0,2,0,1,40.4,9,1.45,1984
341116.41,3.98,40,7.2,1.7,1337,1.03,40.89,-120.31,3150.0,2,0,1,4.7,3,1.31,1984
358393.01,3.53,12,4.5,1.0,824,2.52,34.11,-123.2,5774.0,3,0,1,4.2,10,1.0,2012
305506.39,2.4,21,5.9,1.5,4489,3.52,35.7,-116.24,2325.0,3,0,0,0.4,9,1.03,2003
322875.59,3.68,40,5.6,1.6,3566,3.04,33.88,-123.0,3942.0,4,0,0,10.5,9,1.21,1984
227323.62,2.0,19,5.1,1.4,1196,2.48,38.23,-115.9,3627.0,3,1,1,29.6,1,1.45,2005
257128.52,2.47,3,5.3,2.0,2772,3.27,38.56,-123.37,2031.0,2,0,1,2.6,6,1.32,2021
291026.65,2.24,18,5.8,1.2,671,2.68,36.81,-119.45,3899.0,4,1,0,13.5,8,1.01,2006
267417.06,2.81,51,4.6,0.8,1250,3.06,39.34,-120.46,2766.0,1,0,0,19.1,8,1.12,1973
466715.95,6.86,19,6.8,0.0,5830,0.61,40.74,-118.18,2919.0,0,1,0,6.9,6,1.36,2005
221322.31,1.29,47,7.4,-0.0,3031,3.92,39.88,-119.05,2479.0,1,1,1,18.2,9,1.29,1977
275344.83,3.58,6,4.3,1.4,2278,3.74,34.8,-118.21,3072.0,2,0,1,27.2,7,0.86,2018
319484.67,1.43,16,7.5,1.0,1357,5.53,35.54,-124.49,3045.0,3,0,0,0.2,10,0.93,2008
236729.4,2.25,8,4.3,0.7,1748,2.15,36.11,-123.16,3885.0,2,0,1,19.9,6,1.5,2016
343195.31,4.2,48,6.8,0.5,558,2.4,34.44,-119.07,3500.0,3,0,1,13.7,7,1.48,1976
260229.63,2.79,18,7.5,1.5,1395,3.21,35.93,-122.09,4629.0,3,1,0,27.9,6,1.36,2006
274863.88,1.77,48,5.4,0.6,2442,2.96,34.76,-123.7,4505.0,3,0,1,2.2,7,1.41,1976
276060.51,2.04,43,4.3,1.9,1770,4.9,41.96,-122.21,6312.0,1,1,1,24.7,5,0.77,1981
302744.56,3.57,39,4.6,2.3,1770,2.51,39.94,-116.31,4201.0,2,0,0,2.3,6,0.64,1985
251198.13,2.03,49,6.0,0.6,1071,2.82,40.67,-118.81,3203.0,3,0,0,13.2,9,1.01,1975
304738.44,2.96,49,8.4,1.4,874,2.33,41.26,-122.5,5252.0,2,0,1,4.7,5,1.45,1975
239387.8,2.77,12,3.0,1.3,812,4.83,38.82,-124.33,3175.0,3,0,0,4.1,7,1.13,2012
261523.77,2.09,45,5.7,0.6,1478,3.58,34.17,-120.75,3446.0,3,0,1,10.4,9,1.11,1979
414571.39,6.41,10,5.4,0.6,3253,4.89,39.71,-120.75,845.0,1,0,0,21.2,7,2.04,2014
