applicant_id,gender,married,dependents,education,self_employed,applicant_income,coapplicant_income,loan_amount,loan_term_months,credit_history,property_area,credit_score,age,loan_approved,approval_probability
APP-000125,Male,No,2,Graduate,No,1748.63,0.0,226940.34,180,1,Rural,672,57,0,0.6602
APP-000126,Female,No,0,Graduate,Yes,2718.44,0.0,94155.4,240,0,Urban,722,55,0,0.3598
APP-000127,Male,Yes,0,Not Graduate,No,3156.92,967.33,117481.17,240,1,Urban,776,64,1,0.7878
APP-000128,Female,Yes,2,Graduate,No,2619.92,1003.6,82074.77,180,1,Rural,537,60,0,0.3618
APP-000129,Male,No,2,Not Graduate,No,3795.68,0.0,75396.76,180,1,Rural,475,42,0,0.5561
APP-000130,Male,Yes,0,Graduate,Yes,10007.17,1880.03,90582.3,180,1,Semiurban,799,47,1,0.6498
APP-000131,Male,Yes,3+,Not Graduate,No,2434.67,1367.82,77597.47,300,0,Semiurban,605,55,0,0.3058
APP-000132,Male,Yes,3+,Not Graduate,No,2130.01,1956.39,73012.92,240,1,Semiurban,680,21,0,0.6314
APP-000133,Male,No,0,Graduate,No,2076.46,0.0,79281.15,120,1,Semiurban,641,55,0,0.597
APP-000134,Female,No,0,Graduate,No,684.0,0.0,75063.01,120,1,Urban,686,57,1,0.7037
APP-000135,Male,No,0,Graduate,No,2487.79,0.0,99158.85,36,1,Urban,763,67,1,0.6249
APP-000136,Female,No,0,Graduate,No,10602.37,0.0,104700.6,360,1,Urban,590,34,0,0.7151
APP-000137,Female,No,1,Graduate,No,3797.03,0.0,62470.61,300,1,Semiurban,817,23,0,0.7233
APP-000138,Female,Yes,0,Graduate,No,2856.65,1269.56,113665.0,24,0,Rural,655,21,1,0.5635
APP-000139,Male,Yes,0,Graduate,No,4990.93,987.37,95397.86,300,1,Rural,812,25,0,0.837
APP-000140,Male,Yes,0,Not Graduate,No,2813.29,2975.52,90925.84,60,1,Urban,495,46,1,0.6514
APP-000141,Female,No,3+,Graduate,No,7654.72,0.0,112556.73,84,1,Rural,615,34,1,0.8104
APP-000142,Female,No,2,Not Graduate,No,3377.86,0.0,180282.58,240,1,Urban,582,59,0,0.4994
APP-000143,Male,Yes,2,Graduate,No,8427.41,1650.8,93328.93,240,1,Semiurban,577,47,0,0.664
APP-000144,Male,No,2,Graduate,Yes,4262.31,0.0,68000.95,180,1,Semiurban,781,29,0,0.808
APP-000145,Male,Yes,0,Graduate,No,5002.42,4052.15,121356.68,360,1,Rural,602,35,0,0.6706
APP-000146,Female,No,1,Graduate,No,3322.92,0.0,122688.73,180,1,Urban,760,35,0,0.7737
APP-000147,Female,Yes,1,Not Graduate,No,6512.76,3751.79,109647.8,84,1,Urban,739,46,0,0.7013
APP-000148,Male,Yes,3+,Not Graduate,No,10076.53,2624.8,97555.62,12,0,Urban,770,62,0,0.5687
APP-000149,Female,Yes,1,Graduate,No,5024.47,2866.4,63587.47,300,1,Urban,543,33,1,0.733
APP-000150,Female,No,1,Not Graduate,No,3265.7,0.0,62412.18,120,1,Rural,732,52,0,0.615
APP-000151,Male,Yes,0,Graduate,No,6534.76,1906.64,84694.57,240,1,Urban,783,59,1,0.8793
APP-000152,Female,Yes,1,Not Graduate,No,2744.68,1193.91,65588.19,240,1,Rural,761,69,0,0.5698
APP-000153,Female,No,0,Graduate,No,8520.03,0.0,136345.73,24,1,Urban,675,52,1,0.6914
APP-000154,Male,No,3+,Not Graduate,No,2685.2,0.0,52615.58,240,0,Semiurban,542,24,0,0.223
APP-000155,Female,No,0,Not Graduate,No,3485.71,0.0,96373.16,120,1,Urban,684,50,1,0.6403
APP-000156,Male,Yes,0,Graduate,No,6135.28,1260.86,93140.77,300,1,Urban,726,57,0,0.8074
APP-000157,Male,No,3+,Graduate,No,1068.16,0.0,123532.28,180,1,Urban,640,43,0,0.6699
APP-000158,Male,Yes,3+,Graduate,No,4398.02,3919.16,131601.07,180,1,Urban,673,59,0,0.6833
APP-000159,Male,No,1,Graduate,No,4006.01,0.0,72493.94,60,1,Semiurban,757,65,0,0.6613
APP-000160,Male,No,2,Not Graduate,No,2754.4,0.0,165212.71,120,1,Urban,697,35,0,0.6747
APP-000161,Male,Yes,0,Not Graduate,No,2997.24,1146.38,64769.68,360,1,Semiurban,799,63,1,0.7145
APP-000162,Female,Yes,2,Not Graduate,No,2192.84,8534.62,139366.99,300,1,Urban,698,49,1,0.7154
APP-000163,Male,No,1,Graduate,No,2044.55,0.0,125264.11,360,1,Semiurban,662,56,0,0.6525
APP-000164,Female,Yes,2,Graduate,No,2838.8,1007.58,47737.42,180,0,Urban,755,33,0,0.685
APP-000165,Male,No,1,Graduate,No,2003.16,0.0,64591.99,240,1,Urban,741,52,1,0.6979
APP-000166,Female,Yes,2,Not Graduate,No,4944.95,6759.8,141692.82,180,1,Rural,667,27,0,0.6824
APP-000167,Female,Yes,0,Graduate,No,2364.79,1182.88,105516.64,300,1,Rural,781,42,1,0.753
APP-000168,Male,Yes,2,Graduate,No,5878.68,11182.57,101298.47,360,0,Rural,580,48,0,0.4845
APP-000169,Female,No,0,Graduate,No,2063.44,0.0,35068.53,300,1,Urban,657,22,0,0.6701
APP-000170,Male,Yes,3+,Graduate,No,1680.81,5287.57,92164.28,180,1,Urban,850,62,0,0.6868
APP-000171,Female,No,1,Graduate,No,3192.39,0.0,75545.24,360,1,Urban,790,65,0,0.6825
APP-000172,Female,Yes,1,Graduate,No,1817.99,828.79,60026.55,360,1,Rural,757,26,1,0.7079
APP-000173,Female,No,1,Not Graduate,No,3353.63,0.0,129626.65,180,1,Rural,606,48,0,0.713
APP-000174,Female,Yes,1,Graduate,No,2268.06,565.3,100476.42,120,1,Urban,525,48,0,0.6652
APP-000175,Male,Yes,2,Not Graduate,No,1708.42,486.15,70062.52,84,0,Urban,658,64,1,0.356
APP-000176,Male,No,1,Graduate,No,1721.63,0.0,72732.15,240,0,Rural,718,64,0,0.4706
APP-000177,Female,Yes,1,Not Graduate,No,7363.2,1143.61,103006.01,24,0,Semiurban,776,40,0,0.4379
APP-000178,Male,Yes,1,Graduate,No,5544.79,600.4,118791.66,240,1,Rural,592,50,0,0.7305
APP-000179,Male,No,2,Not Graduate,No,1658.71,0.0,133102.1,36,0,Urban,697,31,0,0.5629
APP-000180,Male,Yes,1,Not Graduate,No,2262.62,2833.82,122182.87,84,1,Urban,657,48,0,0.5323
APP-000181,Male,Yes,0,Graduate,Yes,8881.59,851.93,97514.14,180,1,Rural,692,45,1,0.7084
APP-000182,Female,Yes,0,Not Graduate,No,3577.74,194.09,70455.31,36,1,Urban,717,59,0,0.6514
APP-000183,Male,Yes,0,Graduate,No,2963.31,1590.24,113133.91,24,1,Urban,657,53,1,0.7072
APP-000184,Male,Yes,0,Not Graduate,No,3883.31,2408.78,66524.25,180,1,Urban,631,21,0,0.7744
APP-000185,Female,Yes,2,Graduate,No,4264.84,3460.62,102817.85,300,0,Semiurban,666,47,0,0.4831
APP-000186,Female,No,2,Not Graduate,Yes,3617.49,0.0,92536.81,120,1,Urban,723,33,0,0.457
APP-000187,Male,Yes,0,Not Graduate,No,2249.41,1592.36,135876.49,84,1,Semiurban,723,61,0,0.7488
APP-000188,Male,No,0,Graduate,Yes,1104.23,0.0,131771.02,120,0,Semiurban,597,23,1,0.443
APP-000189,Female,Yes,0,Graduate,No,3597.4,1638.46,124706.11,240,1,Urban,582,59,0,0.6513
APP-000190,Female,Yes,1,Not Graduate,No,1200.34,1508.33,119566.68,24,1,Urban,758,26,0,0.6642
APP-000191,Male,Yes,1,Not Graduate,No,2715.3,1434.18,95090.73,24,1,Urban,574,28,0,0.5276
APP-000192,Male,No,2,Not Graduate,No,2457.34,0.0,183595.7,180,0,Rural,629,47,0,0.4268
APP-000193,Male,Yes,1,Graduate,No,2356.67,2715.94,125005.04,240,1,Rural,665,29,0,0.6763
APP-000194,Male,No,0,Graduate,No,4696.79,0.0,178753.67,180,1,Urban,683,57,1,0.7979
APP-000195,Male,Yes,2,Graduate,No,3203.55,1172.76,150615.05,240,1,Semiurban,676,53,1,0.6661
APP-000196,Female,No,2,Graduate,Yes,4836.78,0.0,83487.61,60,0,Rural,733,62,1,0.5217
APP-000197,Male,Yes,1,Graduate,No,1238.81,2024.0,78973.34,180,1,Urban,804,64,0,0.8789
APP-000198,Female,Yes,2,Graduate,Yes,5732.87,1273.62,120191.91,120,1,Rural,675,44,1,0.6092
APP-000199,Male,Yes,0,Graduate,No,6323.17,737.65,61252.67,60,1,Rural,606,35,0,0.5835
APP-000200,Female,Yes,2,Graduate,No,3533.24,4737.6,85730.92,60,1,Semiurban,702,52,0,0.7825
APP-000201,Female,Yes,0,Graduate,No,11631.83,4619.29,75103.83,240,0,Urban,657,52,0,0.6066
APP-000202,Male,Yes,2,Not Graduate,No,5459.48,558.29,97726.29,360,1,Urban,644,44,1,0.7345
APP-000203,Male,No,0,Graduate,Yes,3567.16,0.0,42230.43,60,1,Urban,738,61,1,0.8227
APP-000204,Male,Yes,0,Graduate,No,8597.08,2868.7,232302.42,180,1,Urban,585,69,0,0.7327
APP-000205,Female,Yes,0,Graduate,No,3829.47,8413.14,130654.49,84,1,Urban,637,69,1,0.6251
APP-000206,Female,Yes,3+,Graduate,No,2092.1,1720.37,149346.38,120,1,Semiurban,664,32,0,0.7635
APP-000207,Male,Yes,0,Not Graduate,No,5923.47,3606.52,105016.82,84,1,Urban,746,59,1,0.7202
APP-000208,Male,Yes,2,Graduate,No,9027.59,1345.91,159518.28,180,1,Urban,729,22,1,0.7764
APP-000209,Male,Yes,1,Not Graduate,No,1450.21,2599.56,123539.3,36,1,Rural,758,23,0,0.5833
APP-000210,Female,No,1,Graduate,No,2757.38,0.0,137318.4,240,1,Semiurban,625,69,0,0.5713
APP-000211,Male,Yes,1,Not Graduate,No,2682.25,2390.13,120044.15,180,0,Semiurban,817,57,0,0.4091
APP-000212,Male,Yes,1,Graduate,No,1693.83,1846.99,169917.43,120,0,Semiurban,655,69,0,0.5698
APP-000213,Male,Yes,3+,Graduate,No,3073.92,3921.02,74640.68,84,1,Semiurban,727,37,0,0.6655
APP-000214,Male,Yes,1,Not Graduate,No,2276.81,5398.21,184343.49,180,1,Urban,696,69,1,0.7115
APP-000215,Female,Yes,1,Graduate,No,4687.14,2039.72,92566.16,360,0,Urban,622,22,1,0.5266
APP-000216,Male,Yes,0,Not Graduate,No,4897.01,4130.61,71680.88,240,0,Rural,654,22,1,0.5333
APP-000217,Female,Yes,0,Graduate,No,3957.3,1154.1,117600.89,84,1,Urban,727,48,0,0.6242
APP-000218,Male,Yes,0,Not Graduate,No,4132.41,1314.74,63456.27,240,0,Urban,724,43,0,0.4795
APP-000219,Male,No,1,Not Graduate,No,8980.71,0.0,81285.31,180,0,Rural,708,57,0,0.5357
APP-000220,Female,Yes,0,Not Graduate,No,12198.03,177.39,88378.63,24,1,Urban,773,52,0,0.6921
APP-000221,Female,Yes,1,Graduate,No,5246.0,1494.16,90451.91,180,1,Rural,782,53,1,0.8598
APP-000222,Female,Yes,2,Graduate,No,2687.34,2150.2,145625.86,84,1,Urban,665,21,0,0.69
APP-000223,Male,Yes,0,Not Graduate,No,4305.85,712.93,137409.39,120,1,Rural,617,39,0,0.6568
APP-000224,Male,No,1,Not Graduate,No,3709.01,0.0,87224.77,180,1,Semiurban,588,22,1,0.5395
APP-000225,Female,Yes,3+,Graduate,No,5483.74,1739.85,117803.38,240,1,Rural,717,64,0,0.6722
APP-000226,Male,Yes,1,Graduate,No,2140.99,3199.14,229390.81,180,1,Urban,793,46,1,0.8106
APP-000227,Male,No,0,Graduate,Yes,5694.58,0.0,60939.11,120,1,Urban,698,52,1,0.733
APP-000228,Female,Yes,1,Not Graduate,Yes,3824.7,4839.99,66048.36,240,1,Rural,667,26,0,0.5533
APP-000229,Female,No,2,Graduate,No,3460.64,0.0,100611.67,84,1,Semiurban,762,52,0,0.8404
APP-000230,Female,No,0,Graduate,No,3544.04,0.0,292020.72,240,1,Urban,613,24,0,0.7734
APP-000231,Female,Yes,2,Graduate,Yes,8173.65,1308.84,70981.45,84,1,Urban,672,31,0,0.5863
APP-000232,Female,Yes,0,Not Graduate,No,18793.62,2049.51,78132.89,180,1,Urban,596,37,0,0.701
APP-000233,Male,Yes,3+,Not Graduate,No,3908.51,435.86,123485.85,84,1,Urban,733,58,1,0.802
APP-000234,Male,Yes,0,Graduate,No,2347.48,6438.97,144237.36,120,0,Semiurban,590,44,0,0.393
APP-000235,Female,Yes,1,Graduate,No,3615.6,1992.35,99004.36,120,1,Semiurban,759,25,1,0.6164
APP-000236,Female,Yes,3+,Not Graduate,No,4382.41,1499.65,108135.39,120,1,Urban,648,54,1,0.7708
APP-000237,Male,No,0,Not Graduate,No,4011.57,0.0,98153.95,300,1,Semiurban,836,26,1,0.6059
APP-000238,Male,Yes,1,Graduate,No,4031.2,1827.1,106088.89,84,1,Urban,501,42,1,0.51
APP-000239,Male,No,2,Not Graduate,No,3274.26,0.0,55232.71,84,1,Semiurban,702,31,0,0.4348
APP-000240,Female,No,0,Graduate,No,8175.24,0.0,105850.37,180,1,Semiurban,711,68,0,0.7226
APP-000241,Male,No,1,Not Graduate,No,3096.79,0.0,100146.23,300,1,Semiurban,644,36,0,0.7158
APP-000242,Male,Yes,2,Graduate,No,5901.06,1630.38,114184.04,180,1,Semiurban,846,53,1,0.8186
APP-000243,Male,Yes,3+,Graduate,Yes,1471.19,500.61,79527.79,360,0,Semiurban,805,29,1,0.5449
APP-000244,Female,No,0,Not Graduate,No,2591.97,0.0,120609.47,84,0,Rural,731,26,0,0.3624
APP-000245,Male,No,2,Graduate,No,4340.79,0.0,136634.99,12,1,Rural,642,36,0,0.5573
